关系抽取_RE_Spatial_Emotion,情感表达_Emotion_Valence,情感表达_Emotion_Discrete,情感表达_Emotion_Intensity,情感表达_Emotion_Shift,空间环境特征_Place_Name
[开阔江景] -> [愉悦/开心],Positive,兴趣/好奇; 愉悦/开心,中/一般,否,下关; 江豚观赏地
[长江大桥] -> [自豪/归属感],Positive,自豪/归属感; 怀旧/温馨,强/高,否,下关大马路; 中山码头; 浦口码头; 浦口火车站
[霓虹光影+江边夜色] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇; 自豪/归属感,强/高,否,浦口火车站
[橘色长江] -> [愉悦/开心]; [火车与汽车同框] -> [惊叹/兴奋],Positive,愉悦/开心; 放松/平静; 怀旧/温馨; 敬畏/惊叹,强/高,否,中山码头; 民国首都电厂旧址公园; 下关火车主题公园; 南京长江大桥玻璃栈桥
[江边日落] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹,中/一般,否,中山码头; 五马渡游轮码头; 达摩洞; 燕子矶
[文艺风格火车站建筑] -> [敬佩/惊叹],Positive,怀旧/温馨; 敬佩/惊叹,中/一般,否,长江大桥
[江景与落日] -> [治愈/放松]; [民国建筑] -> [文艺/怀旧],Positive,愉悦/开心; 放松/平静,中/一般,是（失望->满意）,7-11江边路店
,,,,,下关滨江; 中山码头; 民国首都电厂旧址公园; 江豚观赏地; 民国海军医院旧址; 铁路轮渡栈桥旧址; 下关火车主题公园; 大桥南堡公园; 玻璃栈道
[浦口火车站] -> [怀旧与反思交织的情感],Negative,悲伤; 失望; 厌恶,中/一般,否,宝塔桥
无法判断,Negative,烦躁/不耐烦; 失望/悲伤,中/一般,无法判断,浦口火车站; 南京北站
[江风] -> [放松/平静]; [民国风情街] -> [兴趣/好奇],Positive,放松/平静; 愉悦/开心; 兴趣/好奇,强/高,是（下雨导致未能完全满足预期 -> 对晴天场景的期待）,下关滨江; 夕Space落日餐厅; 中山码头; 京艺术中心
[靠窗风景] -> [愉悦/开心]; [江风] -> [舒适],Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 怀旧/温馨,强/高,否,
[老火车站] -> [怀旧/温馨],Mixed,愉悦/开心; 失望/悲伤; 怀旧/温馨,中/一般,是（愉悦->失望->怀旧）,浦口火车站
[长江大桥景观] -> [兴趣/好奇],Positive,兴趣/好奇; 愉悦/开心,中/一般,否,无法判断
,Neutral,,弱/低,否,浦口码头; 中山码头; 浦口码头民国风情街
[日落景观] -> [愉悦/开心]; [长江大桥] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,中山码头; 浦口码头; 浦口火车站; 南京北站; 扬子江生态公园
[民国建筑群] -> [怀旧/温馨],Positive,愉悦/开心; 怀旧/温馨,中/一般,否,浦口火车站; 中山码头; 南京西站; 夜市
[江豚母子] -> [喜爱/好奇]; [黑鸢飞舞] -> [敬畏/惊叹],Positive,兴趣/好奇; 愉悦/开心; 敬畏/惊叹,强/高,否,中山码头; 浦口码头; 五马渡游轮码头; 燕子矶; 南京长江大桥; 二桥
[绿皮火车+日落] -> [治愈/浪漫],Positive,愉悦/开心; 放松/平静,强/高,否,中山码头; 南京长江大桥; 下关火车主题公园; 江边路
[夜景灯光] -> [很好看],Positive,愉悦/开心; 放松/平静,中/一般,否,下关火车主题公园; 南京长江大桥; 南京西站
[老火车站元素] -> [怀旧/温馨],Positive,怀旧/温馨; 自豪/归属感,强/高,否,浦口火车站; 中山码头; 浦口码头; 浦口公园; 扬子江公园
[波光粼粼] -> [愉悦/开心]; [列车在桥上行驶] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,南京长江微笑驿站
[绿皮火车] -> [兴趣/好奇]; [芦苇荡+江景] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,下关火车主题公园; 民国首都电厂旧址公园
[橘色落日洒在江面] -> [愉悦/开心]; [摩天轮灯光] -> [惊叹/喜悦],Positive,愉悦/开心; 敬畏/惊叹; 兴趣/好奇,强/高,否,苜蓿园地铁站; 梧桐大道; 明孝陵5号门; 网红机位桥; 长生鹿苑; 音乐台; 灵谷寺路; 新街口; 丰富路; 南台巷; 先锋书店; 青岛路; 西桥; 颐和路; 玄武湖; 鸡鸣寺; 总统府; 夫子庙; 老门东; 大报恩寺; 万象天地; 熙南里; 国创园; 梦幻城
[日出/日落] -> [愉悦/开心],Positive,舒适/安全; 愉悦/开心,中/一般,否,浦口火车站
[火车站沧桑感] -> [怀旧/温馨],Positive,愉悦/开心; 怀旧/温馨; 兴趣/好奇; 自豪/归属感,强/高,否,长江之恋游轮; 长江大桥; 五马渡广场; 达摩古洞; 燕子矶公园
[民国建筑] -> [历史感],Mixed,失望/悲伤; 期待,中/一般,是（失望->期待）,南京下关火车站旧址; 中山码头; 玻璃栈道; 长江大桥
[橘子海日落] -> [愉悦/开心]; [玻璃栈桥灯光] -> [放松/平静],Positive,愉悦/开心; 放松/平静,强/高,否,南京百家湖1912街区
[人群密集] -> [挫败/烦恼],Negative,挫败/烦恼,中/一般,否,南京长江大桥; 玻璃栈道; 南堡公园; 南京铁路会议中心
[火车鸣笛声] -> [自豪/归属感]; [落日] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇; 自豪/归属感,中/一般,否,浦口火车站; 浦口码头; 下关火车主题公园; 铁路栈桥旧址
[橘子海日落] -> [治愈/愉悦]; [灯塔与晚霞] -> [惊叹/欣赏],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 怀旧/温馨,强/高,否,南京北站
[混搭建筑风格] -> [怀旧]; [名人关联] -> [敬佩],Mixed,怀旧; 敬佩; 惋惜,中/一般,是（敬佩->惋惜）,下关火车主题公园; 长江大桥玻璃栈道
[江景] -> [愉悦/开心],Positive,舒适/安全; 愉悦/开心,中/一般,否,中山码头
[江边的风] -> [舒适/安全]; [草木气息] -> [放松/平静],Positive,放松/平静; 舒适/安全; 敬畏/惊叹,强/高,否,浦口火车站; 浦口码头; 中山码头; 民国首都电厂旧址公园; 江豚书屋; 下关火车主题公园; 长江大桥玻璃栈道
,,,,,下关火车主题公园; 燕子矶公园; 五马渡广场; 鱼嘴湿地公园; 灯塔; 明城墙
[鸽子齐飞] -> [自由/内心绽放],Mixed,懊悔; 放松/平静; 愉悦/开心,中/一般,是（懊悔->放松/愉悦）,国民政府海军总司令部旧址; 浦口火车站; 南京北站; 朱自清《背影》主题乐园; 励志社; 钟山宾馆; 中央体育场旧址; 南京体育大学
[朱自清文学意象] -> [怀旧/温馨],Positive,兴趣/好奇; 怀旧/温馨,中/一般,否,吾悦; 万达
[银杏树秋色] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,玻璃栈桥; 长江大桥; 大桥南堡公园
,Neutral,,弱/低,否,
[金黄色的江水] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇,强/高,否,音乐台; 中山植物园; 明孝陵; 中山陵; 燕雀湖; 南京博物院; 遇难同胞纪念馆; 夫子庙; 老门东; 马道街; 万象天地; 艾尚天地; 梧桐大道; 陵园路
,Positive,愉悦/开心; 舒适/安全,中/一般,否,中山码头; 浦口码头
[江风] -> [舒适/安全],Positive,愉悦/开心; 舒适/安全,强/高,否,101明潮里; 阅江楼景区
[江风] -> [放松/平静],Positive,放松/平静; 舒适/安全,弱/低,否,南堡公园; 下关西火车主题公园
[光影效果] -> [愉悦/开心],Positive,兴趣/好奇; 愉悦/开心; 自豪/归属感,中/一般,否,南京下关滨江区域（推测）
[钢琴演奏] -> [舒适/安全]; [海景视野] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇; 舒适/安全,中/一般,否,中山码头
[大江风光] -> [惊叹],Positive,愉悦/开心; 敬畏/惊叹,中/一般,否,滨江公园; 南京眼步行桥
[江边落日] -> [敬畏/惊叹]; [江风拂面] -> [舒适],Positive,愉悦/开心; 敬畏/惊叹; 兴趣/好奇; 怀旧/温馨,强/高,否,下关滨江
[玻璃栈道] -> [浪漫/温馨],Positive,愉悦/开心; 浪漫/温馨,强/高,否,长江大桥; 玻璃栈道
[火车声+轮船声+知了声] -> [安宁放松],Positive,放松/平静; 敬畏/惊叹,中/一般,否,鼓浪屿; 三丘田码头; 厦门轮渡码头; 东渡客运码头; 蕞美转角; 风琴博物馆; 八卦楼; 管风琴艺术中心; 龙头路小吃街; 日光岩; 菽庄花园; 钢琴博物馆; 大德记海水浴场; 皓月园; 八市; 中山路步行街
[橘子海落日] -> [愉悦/开心]; [江边长椅] -> [放松/平静],Positive,愉悦/开心; 放松/平静,中/一般,否,阅江楼; 狮子山; 南京长江大桥; 中山码头
[浪漫日落] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹,中/一般,否,下关火车主题公园
[江风] -> [舒适/安全]; [落日] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,长江大桥玻璃栈道
[工业风格场景] -> [愉悦/开心],Positive,兴趣/好奇; 愉悦/开心,中/一般,否,长江大桥; 玻璃栈道; 桥头堡; 大桥公园; 望江亭
[户户直面阅江楼] -> [自豪/归属感],Positive,兴趣/好奇; 自豪/归属感,中/一般,否,下关滨江; 玻璃栈道
[落日与灯光同时出现] -> [愉悦/开心],Positive,兴趣/好奇; 愉悦/开心,中/一般,否,中山码头; 浦口码头; 下关火车主题公园; 江豚观赏地; 玻璃栈桥
[美丽的日落] -> [愉悦/开心]; [长江大桥] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,中/一般,否,下关火车主题公园; 江豚观测点; 江豚书屋; 中山码头; 浦口火车站
[阳光明媚] -> [舒适]; [孩子喜欢火车] -> [开心],Positive,愉悦/开心; 放松/平静,中/一般,否,江边码头
,,,,,鼓楼滨江; 下关火车主题公园; 映红桥; 阅江楼; 拉萨路小学(方兴校区); 金陵汇文中小学(规划); 南京西站; 方家营站; 大观天地MALL; ITC; 和记洋行; 深业漫埠; 南医大二附医院(阅江楼院区)
,Neutral,,中/一般,否,上元门站; 德国马牌轮胎; 玻璃栈道
[夕阳江景] -> [愉悦/开心]; [长江大桥] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,中/一般,否,长江大桥
[风景如画的江边] -> [兴趣/好奇]; [复古温暖的绿皮火车] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇; 自豪/归属感,强/高,否,铁路轮渡旧址; 长江大桥
,,,,,
[落日景观] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,中/一般,否,颐和路; 先锋书店; 茶南大街; 侵华日军南京大屠杀遇难同胞纪念馆; 长江大桥; 玻璃栈道; 南堡公园; 中山码头
[夕阳与晚霞] -> [浪漫]; [江风吹拂] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 兴趣/好奇,强/高,否,长江大桥; 玻璃栈道; 宝塔桥西街; 南京长江大桥纪念馆; 大桥公园; 金川河
[朝阳] -> [愉悦/开心],Positive,愉悦/开心; 满足; 惊叹,强/高,否,下关火车主题公园
[文学影视关联场景] -> [兴趣/好奇],Positive,兴趣/好奇; 愉悦/开心; 怀旧/温馨,中/一般,否,
[橘子海落日] -> [治愈/敬畏]; [微风] -> [舒适],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,中山码头; 浦口码头; 长江大桥; 江心洲; 江北核心区; 浦口火车站
[晚霞] -> [浪漫]; [日落] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 浪漫,强/高,否,中山码头; 浦口码头; 浦口老火车站; 扬子江生态公园; 民国首都电厂旧址公园; 长江大桥玻璃栈道; 下关西
[落日余晖] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,中山码头; 小鱼馆
[长江大桥景观] -> [兴趣/好奇],Positive,舒适/安全; 兴趣/好奇,中/一般,否,浦口火车站
[滨江风光] -> [愉悦/开心]; [火车声] -> [怀旧/温馨],Positive,愉悦/开心; 放松/平静; 怀旧/温馨,中/一般,否,下关西火车主题街区
[工业风建筑] -> [喜爱],Positive,怀旧/温馨; 愉悦/开心,中/一般,否,长江大桥; 玻璃栈道; 南堡公园
[灯光效果] -> [有氛围感],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,中山码头; 浦口火车站; 夫子庙; 秦淮河; 老门东
,Neutral,,弱/低,否,中山码头; 浦口码头; 长江大桥
[橘色晚霞] -> [愉悦/开心]; [江风] -> [治愈],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,长江大桥; 大桥南堡公园; 玻璃栈道; 下关火车主题公园; 铁路轮渡旧址; 中山码头; 浦口火车站; 南京西站
[夕阳下的火车] -> [惊叹]; [江岸边日落] -> [愉悦],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,南京西站
[民国风格建筑] -> [兴趣/好奇]; [阿姨们的夸奖声] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇; 自豪/归属感,强/高,否,南京长江大桥; 玻璃栈道; 大桥南堡公园
[民国风格建筑] -> [怀旧/温馨],Positive,怀旧/温馨; 自豪/归属感,中/一般,否,中山码头
,Neutral,,弱/低,否,鱼嘴湿地公园; 灯塔; 江豚广场; 梅花林; 森林栈道; 芦苇荡
[铁路轮渡遗址] -> [怀旧/温馨],Mixed,怀旧/温馨; 遗憾/失望,中/一般,是（怀旧->遗憾）,下关火车主题公园
[江景] -> [放松/平静],Mixed,挫败/烦恼; 放松/平静,中/一般,是（挫败->放松）,浦口火车站; 中山码头
[落日] -> [非常美]; [绣球花] -> [超美],Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 自豪/归属感,强/高,是（过去失望->现在惊喜）,民国首都电厂旧址
[橘子海落日] -> [愉悦/开心]; [江边冷风吹拂] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,长江大桥; 玻璃栈道; 上元门站; 南堡公园西站; 金川河
[血写文字] -> [沉重感],Negative,悲伤; 沉重,强/高,否,下关; 浦口车站; 铁路轮渡旧址
[日落景观] -> [愉悦/开心; 敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,中山码头; 民国首都电厂旧址公园; 民国海军医院旧址; 下关火车主题公园; 玻璃栈道; 映红桥; 南京长江大桥
[《背影》文学场景] -> [怀旧/温馨],Mixed,怀旧/温馨; 遗憾/失望,中/一般,是（怀旧->遗憾）,下关西火车主题街区; 大马路民国风情街; 中山码头; 南京长江大桥; 阅江楼风景区; 绣球公园
[晚霞下的轮渡] -> [浪漫]; [岁月斑驳的建筑] -> [敬畏/惊叹],Positive,怀旧/温馨; 敬畏/惊叹,强/高,否,下关火车主题公园; 中山码头; 滨江步道; 玻璃栈道; 长江大桥
[绿皮火车和复古车厢] -> [愉悦/开心],Positive,愉悦/开心; 怀旧/温馨,中/一般,否,长江大桥
[江边落日余晖] -> [宁静美好]; [绿皮火车] -> [怀旧],Positive,放松/平静; 怀旧/温馨,中/一般,否,中山码头
[日落] -> [愉悦/开心]; [大桥结构] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,中山码头; 浦口火车站
[长江壮阔景象] -> [敬畏/惊叹]; [日落美景] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹; 放松/平静; 轻微焦虑,中/一般,是（愉悦->轻微焦虑）,中山码头; 大马路
,Positive,愉悦/开心; 兴趣/好奇; 放松/平静,强/高,否,长江大桥玻璃栈道; 中山码头; 浦口码头; 浦口火车站; 大马路
[背影雕塑] -> [兴趣/好奇]; [历史建筑] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹; 兴趣/好奇,强/高,否,下关火车主题公园; 南京西站; 浦口火车站
[灯火通明的城市夜景] -> [放松/平静],Positive,放松/平静; 兴趣/好奇,中/一般,否,长江大桥; 玻璃栈道; 南京地铁3号线（上元门站）; 南堡公园
[漂亮的小姐姐与环境协调] -> [愉悦/开心],Positive,愉悦/开心; 怀旧/温馨,中/一般,否,长江大桥; 南堡公园
,,,,,中山码头; 浦口码头; 扬子江生态公园; 浦口火车站
[怀旧车站] -> [怀旧/温馨],Positive,愉悦/开心; 怀旧/温馨,中/一般,否,浦口火车站; 浦口码头; 中山码头
,,,,,四平路; 新民路; 护城河南路; 南京财经大学（福建路校区）; 西妙峰庵路; 中山北路; 新民门; 南湖; 红庙; 三七八巷
[樱花盛开] -> [愉悦/开心]; [白鸽飞舞] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 兴趣/好奇,中/一般,否,中山码头; 浦口码头
[灯光] -> [愉悦/开心]; [火车] -> [兴趣/好奇],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,
[日落景色] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,下关火车主题公园
[秋风] -> [清爽/舒适],Positive,愉悦/开心; 放松/平静,中/一般,否,
[江风] -> [舒适]; [日落] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 怀旧/温馨,强/高,否,南京大字墙; 鸡鸣寺; 报恩寺; 秦淮河; 梧桐大道; 音乐台; 颐和路; 西桥; 玄武湖; 银杏湖; 锦创书城; 越界梦幻城
[绿皮火车] -> [兴趣/好奇],Mixed,兴趣/好奇; 些许遗憾,中/一般,是（兴趣->些许遗憾）,下关滨江; 玻璃栈道
[江面和风] -> [暂时与世界脱离的感觉],Positive,放松/平静; 愉悦/开心; 舒适/安全,强/高,否,江边路欢乐大舞台
[开阔视野] -> [愉悦/开心],Positive,愉悦/开心; 舒适/安全,强/高,否,鼓楼; 牯岭路; 西桥; 鼓楼滨江; 长江大桥; 铁路轮渡旧址
,Neutral,,弱/低,否,中山码头; 浦口火车站; 下关电厂遗址公园; 江豚观赏地; 下关历史陈列馆; 下关火车主题公园; 长江大桥
[傍晚景色] -> [治愈/惊叹],Positive,愉悦/开心; 放松/平静,中/一般,否,下关火车主题公园
[轮渡旅程] -> [愉悦/开心],Positive,愉悦/开心; 怀旧/温馨,中/一般,否,中山码头; 京艺术中心
[温暖天气] -> [舒适/放松],Positive,愉悦/开心; 放松/平静,中/一般,否,中山码头
,,,,,下关滨江
[阳光] -> [非常舒服],Positive,愉悦/开心; 放松/平静,中/一般,否,下关火车主题公园
[日落与晚霞] -> [治愈],Positive,愉悦/开心; 放松/平静,强/高,否,南京北站
[汽笛声穿越晚霞] -> [放松/平静]; [日落江景] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 兴趣/好奇; 自豪/归属感,强/高,否,滨江大道
[江风] -> [舒适/放松],Positive,愉悦/开心; 怀旧/温馨,中/一般,否,
[落日] -> [放松/平静],Positive,愉悦/开心; 放松/平静,中/一般,否,夕Space落日餐厅
[日落和晚霞] -> [愉悦/开心]; [工业风建筑] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,下关火车主题公园
[微缩版德国鲁尔工业区] -> [赞叹]; [仿船形建筑] -> [赞叹],Positive,兴趣/好奇; 敬佩/赞叹,中/一般,否,民国首都电厂旧址公园
,,,,,中山码头; 浦口码头; 南京长江大桥; 阅江楼
[夕阳江景] -> [愉悦/开心]; [夜间灯光] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 怀旧/温馨,中/一般,否,长江大桥; 大桥南堡公园
[长江大桥全貌] -> [惊叹/敬畏],Mixed,敬畏/惊叹; 挫败/烦恼,中/一般,是（惊叹->挫败）,下关西火车站; 民国首都电厂旧址公园; 中山码头
,,,,,民国首都电厂旧址公园; 南京下关历史陈列馆; 中山码头
[晚霞与天光水影] -> [敬畏/惊叹]; [汽笛涛声] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,
,,,,,中山码头; 浦口码头; 浦口火车站旧址; 大马路
[朱自清《背影》场景联想] -> [兴趣/好奇],Mixed,兴趣/好奇; 失望/悲伤,中/一般,是（期待->失望）,长江大桥; 玻璃栈道
,,,,,
[体验不同楼层] -> [愉悦/开心],Positive,舒适/安全; 愉悦/开心,强/高,否,中山码头; 浦口码头
[晚霞] -> [敬畏/惊叹]; [江风] -> [舒适/安全],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 舒适/安全,中/一般,否,
[日落] -> [愉悦/开心]; [芦苇与大桥景观] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,中山码头; 浦口
[日落] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇,强/高,否,
[江风] -> [舒适/愉悦],Positive,怀旧/温馨; 愉悦/开心,中/一般,否,中山码头; 浦口码头
[春雷] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,中/一般,否,南京长江大桥; 玻璃栈道; 南堡公园; 望江亭
[天气好时] -> [休闲放松],Positive,放松/平静; 愉悦/开心,中/一般,否,下关火车主题公园
[五星红旗迎风飘扬] -> [感动/自豪],Positive,愉悦/开心; 敬畏/惊叹; 兴趣/好奇,强/高,否,下关火车主题公园; 民国首都电厂旧址公园; 中山码头; 浦口码头
[落日] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,南京西站; 津浦书院
[橘子海日落] -> [治愈/敬畏]; [江风] -> [舒适],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,无法判断
[伸手就能触摸到江水] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,中山码头
[公共路] -> [怀旧/温馨],Negative,悲伤/失望; 怀旧/温馨,强/高,否,中山码头; 浦口码头
[窗户框旁的景观视野] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,下关火车主题公园
[复古工业风] -> [兴趣/好奇],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,中山码头; 浦口码头; 民国首都电厂旧址; 铁路轮渡旧址; 下关火车主题公园; 南堡公园; 玻璃栈道; 长江大桥; 南京北站
[上下楼梯阻碍] -> [挫败感],Negative,挫败/烦恼; 悲伤/失望,中/一般,否,长江大桥; 中山码头; 下关火车主题公园; 铁路轮渡旧址; 玻璃栈道; 江豚观赏地
[落日晚霞] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹,中/一般,否,热河路; 正丰街; 公共路; 长江航道局
[拍照安全环境] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,浦口码头; 中山码头; 大窝子码头; 兴浦路; 津浦茶水铺
[民国风建筑] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,浦口
,Neutral,,弱/低,否,中山码头; 金陵船厂; 金川河; 三岔河; 河西
[下关火车主题园] -> [怀旧/温馨],Positive,愉悦/开心; 怀旧/温馨,中/一般,否,映虹桥; 网红亲水玻璃栈桥; 宝塔桥; 望江亭; 江边路
[橘子海日落] -> [愉悦/开心]; [波光粼粼的江面] -> [敬畏/惊叹],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 兴趣/好奇,强/高,否,
[廊檐下的燕子] -> [怀旧/温馨],Positive,怀旧/温馨; 敬佩/惊叹,中/一般,否,浦口火车站
[长江大桥全景] -> [惊叹/敬畏],Positive,愉悦/开心; 惊叹/敬畏,强/高,否,下关火车主题公园
,,,,,下关火车主题公园
[最美江岸线] -> [愉悦/开心],Positive,愉悦/开心; 惊叹/敬畏,中/一般,否,中山码头; 浦口码头; 民国首都电厂旧址公园; 江豚观赏地; 铁路轮渡栈桥旧址; 下关火车主题公园; 玻璃栈道
[长江大桥和阅江楼景观] -> [愉悦/开心],Positive,放松/平静; 愉悦/开心,中/一般,否,浦口火车站; 中山码头
[夕阳与大桥交相辉映] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,南京长江大桥
[开阔江景] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 怀旧/温馨,中/一般,否,
[江边日落] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,南京北站; 浦口码头; 扬子江生态公园
[橘子日落] -> [愉悦/开心; 敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,轮渡桥滩公园
[长江大桥夜景] -> [浪漫]; [江边静谧时刻] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,长江大桥; 下关滨江
,,,,,南京长江大桥; 南堡公园; 玻璃栈道
[炼油厂灯光+蓝调时刻] -> [震撼],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,长江大桥; 大桥南堡公园; 玻璃栈道
,,,,,中山码头; 浦口码头; 南京北站
[晚霞] -> [惊叹/治愈]; [工业风] -> [怀旧/温馨],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 怀旧/温馨,中/一般,否,长江大桥南堡公园; 中山码头; 海豚观景区; 下关火车主题公园
[夏季夜晚] -> [放松/平静],Positive,放松/平静,中/一般,否,
[江景] -> [放松/平静],Positive,愉悦/开心; 放松/平静,中/一般,否,南京四桥; 金陵石化; 南京栖霞山大桥
[江风凉爽] -> [舒适/平静],Positive,放松/平静; 兴趣/好奇,中/一般,否,
[玻璃栈桥] -> [敬畏/惊叹]; [五彩斑斓的时光隧道] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹; 兴趣/好奇; 怀旧/温馨,强/高,否,长江大桥
[夜晚江景] -> [敬畏/惊叹],Positive,放松/平静; 敬畏/惊叹,中/一般,否,
,,,,,南京站; 玄武湖; 鸡鸣寺; 总统府; 科巷美食街; 老门东; 夫子庙; 中山陵; 音乐台; 明孝陵; 南京博物院; 阅江楼; 长江大桥
[民国邮政大厦] -> [历史厚重感],Mixed,怀旧/温馨; 悲伤/失望,中/一般,是（怀旧->失望）,鼓楼江滨; 中山码头
[滔滔长江水] -> [敬畏/惊叹]; [雄伟壮观的大桥] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,中山码头; 民国首都电厂旧址公园; 南京下关历史陈列馆; 下关火车主题园; 南堡公园玻璃栈桥; 浦口火车站
[粉色建筑] -> [兴趣/好奇],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,下关滨江; 长江大桥
,,,,,
[轮船声、江水声、老鹰声] -> [洗刷疲惫、心情平静],Positive,放松/平静; 愉悦/开心; 敬畏/惊叹,中/一般,否,中山码头; 大马路; 民国邮政大厦; 下关老电厂
,Positive,兴趣/好奇,中/一般,否,南京长江大桥南堡公园; 玻璃栈道; 长江大桥; 望江亭
[夕阳的温暖] -> [放松/平静]; [绚丽的江景] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,下关滨江岸线; 江边路7-11店
[历史与现代交融] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹; 兴趣/好奇,中/一般,否,
[阳光和天气] -> [感觉像来到海滨城市],Positive,愉悦/开心; 放松/平静,中/一般,否,渡江胜利纪念馆; 红云桥; 中山码头; 江豚书屋; 火车头公园; 南堡公园; 玻璃栈道; 长江大桥
[夕阳] -> [愉悦/开心]; [长江大桥夜景] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,中山码头; 浦口码头
[登高望远景色] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,下关滨江
,Neutral,,无法判断,否,101明潮里; 中山码头; 民国首都电厂旧址; 下关火车主题公园; 静海寺; 天妃宫; 仪凤门; 阅江楼
[灯光璀璨的城市天际线] -> [愉悦/开心]; [长江大桥夜景] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹; 自豪/归属感,强/高,否,中山码头; 浦口火车站
[电影取景地] -> [兴趣/好奇],Positive,兴趣/好奇; 怀旧/温馨,中/一般,否,中山码头; 长江大桥; 大桥南堡公园
