关系抽取_RE_Cognitive_Emotion
[配套比较全] -> [舒适/安全]; [小区较老] -> [兴趣/好奇]
[景美] -> [愉悦/开心]; [文学联想] -> [敬爱/感动]
[地标性景观] -> [浪漫氛围]
[江景无敌] -> [愉悦/开心]; [宝藏咖啡店] -> [兴趣/好奇]
[高铁与紫峰同框画面] -> [敬畏/惊叹]; [日出日落景象] -> [愉悦/开心]
[宁静氛围] -> [放松/平静]; [美丽夜景] -> [愉悦/开心]
[情感依恋] -> [愉悦/开心]
[出片] -> [愉悦/开心]; [舒适氛围] -> [放松/平静]
[氛围绝了] -> [愉悦/开心]
[非常出片] -> [愉悦/开心]; [民国风情] -> [兴趣/好奇]; [心旷神怡] -> [放松/平静]
[极致浪漫] -> [愉悦/开心]; [像电影] -> [敬畏/惊叹]
[浪漫日落] -> [愉悦/开心]; [松弛感] -> [放松/平静]
[有历史感] -> [怀旧/温馨]; [城市天际线] -> [敬畏/惊叹]
[缺乏氛围感] -> [失望/悲伤]; [夕阳很美] -> [审美满足]
[走累了] -> [疲惫]; [推荐通道入口] -> [满足]
[浪漫氛围] -> [愉悦/开心]; [宁静环境] -> [放松/平静]
[电影感十足] -> [愉悦/开心]; [民国风格] -> [怀旧/温馨]
[放松氛围] -> [放松/平静]; [落日美景] -> [愉悦/开心]
[浪漫氛围] -> [愉悦/开心]; [文学联想] -> [怀旧/温馨]
[怀旧氛围] -> [怀旧/温馨]; [宁静场景] -> [放松/平静]
[庄严肃穆氛围] -> [敬畏/惊叹]; [园林大片] -> [愉悦/开心]; [摄影师干扰] -> [失望/悲伤]
[浪漫氛围] -> [愉悦/开心]; [历史联想] -> [敬畏/惊叹]
[精致展陈] -> [愉悦/开心]; [首次见识画框美学] -> [敬畏/惊叹]
[知识性氛围浓厚] -> [兴趣/好奇]; [展览形式多样] -> [愉悦/开心]
[治愈感江景] -> [放松/平静]; [美丽景色] -> [愉悦/开心]
[风景不错] -> [愉悦/开心]; [视野开阔] -> [放松/平静]
[复古感] -> [兴趣/好奇]; [氛围感] -> [愉悦/开心]
[视觉冲击力强] -> [愉悦/开心]; [江豚声音] -> [兴趣/好奇]; [天空之镜效果] -> [惊叹/敬畏]
[历史地位与象征意义] -> [自豪/归属感]
[很美] -> [愉悦/开心]; [韩国街头感] -> [舒适/安全]
[历史厚重感] -> [怀旧/温馨]; [英式风情] -> [敬畏/惊叹]
[绝美] -> [愉悦/开心]; [氛围感] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]; [可参观] -> [兴趣/好奇]
[别样的浪漫] -> [愉悦/开心]; [别样的浪漫] -> [浪漫]
[家庭关联] -> [怀旧/温馨]
[社会主义建设成就] -> [自豪]; [爱国主义教育意义] -> [敬佩]
[完美集合多种景观] -> [兴趣/好奇]; [历史感强] -> [敬畏/惊叹]
[承载中国铁路发展历史] -> [怀旧/感慨]
[有设计感] -> [愉悦/开心]; [浪漫氛围] -> [自豪/归属感]
[宁静和谐] -> [放松/平静]; [美好景色] -> [愉悦/开心]
[宁静氛围] -> [放松/平静]; [学习新知识] -> [愉悦/开心]
[浪漫氛围] -> [愉悦/开心]; [出片体验] -> [放松/平静]
[浪漫] -> [浪漫]; [治愈] -> [放松/平静]; [橘子海] -> [愉悦/开心]; [波光粼粼] -> [敬畏/惊叹]
[出片率高] -> [愉悦/开心]; [江面金箔感] -> [敬畏/惊叹]
[文学联想] -> [怀旧/温馨]
[历史意义] -> [自豪/归属感]; [雄伟壮观] -> [敬佩]
[适合游玩] -> [愉悦/开心]; [出片] -> [愉悦/开心]
[漂亮光影] -> [愉悦/开心]; [驻足拍照] -> [兴趣/好奇]
[充满故事] -> [兴趣/好奇]; [滨江风景] -> [愉悦/开心]
[功能缺失] -> [失望/悲伤]; [发展停滞] -> [厌恶]
[民国风格] -> [兴趣/好奇]; [夕阳] -> [愉悦/开心]
[文化符号] -> [自豪/归属感]; [历史遗产] -> [敬畏/惊叹]
[怀旧记忆] -> [怀旧/温馨]; [城市变迁] -> [悲伤/失望]
[出片] -> [愉悦/开心]; [有氛围感] -> [放松/平静]
[历史感] -> [自豪]; [教育意义] -> [敬佩]
[现代建筑风格] -> [兴趣/好奇]; [独特造型] -> [敬畏/惊叹]
[三线建设历史背景] -> [中性客观描述]
[清幽古朴] -> [放松/平静]; [浪漫诗意] -> [愉悦/开心]
[好看落日] -> [愉悦/开心]; [干净整洁] -> [舒适/安全]
[看足瘾] -> [愉悦/开心]; [晚上更好看] -> [兴趣/好奇]
[风景宜人] -> [放松/平静]; [阳光温暖] -> [舒适/安全]
[太有感觉了] -> [愉悦/开心]; [一身轻松的坐火车] -> [放松/平静]
[小众安静环境] -> [放松/平静]; [美丽日落] -> [愉悦/开心]
[浪漫布置] -> [愉悦/开心]; [高级感] -> [放松/平静]
[非常好拍] -> [兴趣/好奇]; [非常好看] -> [愉悦/开心]
[视觉震撼] -> [敬畏/惊叹]; [壮丽氛围] -> [愉悦/开心]
[历史遗产] -> [Neutral]
[历史意义] -> [中性情感]
[有历史感] -> [自豪/归属感]; [有设计感] -> [愉悦/开心]; [了解更多故事] -> [兴趣/好奇]
[回忆童年] -> [怀旧/温馨]; [汤鲜美略咸] -> [愉悦/开心]
[适合拍照] -> [愉悦/开心]; [表演无聊] -> [无聊/厌烦]
[治愈焦虑] -> [放松/平静]; [彰显生命力] -> [敬畏/惊叹]
[浪漫氛围] -> [放松/平静]; [视觉美感] -> [愉悦/开心]
[历史厚重感] -> [敬畏/惊叹]; [民国建筑] -> [兴趣/好奇]
[视野超好] -> [愉悦/开心]; [精致珠宝] -> [兴趣/好奇]
[开创性历史意义] -> [自豪/归属感]; [雄伟壮观] -> [敬畏/惊叹]
[保存最完好] -> [自豪/归属感]; [最文艺] -> [敬佩/惊叹]
[非常出片] -> [愉悦/开心]
[外观优美] -> [欣赏]; [重要历史价值] -> [敬佩]
[有历史感] -> [敬畏/惊叹]; [独特工业美感] -> [愉悦/开心]
[历史痕迹] -> [怀旧/温馨]; [冷清快被人遗忘] -> [悲伤/失望]
[历史文化意义] -> [怀旧/温馨]; [文艺氛围] -> [兴趣/好奇]
[怀旧感] -> [愉悦/开心]; [江边风景] -> [放松/平静]
[壮观] -> [敬畏/惊叹]; [漂亮] -> [愉悦/开心]
[体验差] -> [挫败/烦恼]; [拥挤环境] -> [失望/悲伤]
[最文艺] -> [兴趣/好奇]
[有年代感] -> [怀旧/温馨]; [放松氛围] -> [放松/平静]
[氛围感强] -> [愉悦/开心]; [喝茶+看风景] -> [放松/平静]
[视野开阔] -> [放松/平静]; [好看] -> [愉悦/开心]
[见证中国铁路发展史] -> [怀旧]; [工程精巧] -> [敬佩]
[有设计感] -> [好奇]; [繁忙场景] -> [惊叹]
[好看] -> [愉悦/开心]; [放松氛围] -> [放松/平静]
[风景可] -> [愉悦/开心]; [休闲氛围] -> [放松/平静]
[浪漫氛围] -> [愉悦/开心]; [放松环境] -> [放松/平静]
[发现美食] -> [愉悦/开心]
[太美了] -> [愉悦/开心]; [宁静氛围] -> [放松/平静]
[独特设计感] -> [愉悦/开心]; [远离喧嚣] -> [放松/平静]
[宁静治愈] -> [放松/平静]; [视觉冲击力强] -> [愉悦/开心]
[有文化底蕴] -> [怀旧/温馨]
[有历史感] -> [怀旧/温馨]; [有故事] -> [敬佩/惊叹]
[浪漫] -> [愉悦/开心]; [太有氛围了] -> [放松/平静]
[浪漫氛围] -> [愉悦/开心]; [梦幻景色] -> [敬畏/惊叹]
[充满怀旧氛围] -> [怀旧]; [标志性建筑] -> [敬畏/惊叹]
[绝佳观景] -> [惊叹/敬畏]; [观赏江豚] -> [愉悦/开心]
[适合看江景及拍照] -> [愉悦/开心]; [影视记忆] -> [兴趣/好奇]
[放松氛围] -> [放松/平静]; [出片效果] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]; [文艺氛围] -> [愉悦/开心]
[复古氛围] -> [怀旧/温馨]; [适合婚纱照] -> [愉悦/开心]
[放松氛围] -> [放松/平静]; [宏大景观] -> [敬畏/惊叹]
[不一样的景色] -> [愉悦/开心]; [散步吹风] -> [放松/平静]; [高铁火车经过] -> [敬畏/惊叹]
[美] -> [愉悦/开心]; [有氛围感] -> [放松/平静]
[适合拍照] -> [兴趣/好奇]; [历史文化意义] -> [自豪/归属感]
[惬意与美景] -> [愉悦/开心]; [宁静氛围] -> [放松/平静]
[登高揽胜] -> [愉悦/开心]; [有历史感] -> [怀旧/温馨]
[风景很美] -> [愉悦/开心]; [想再次体验] -> [兴趣/好奇]
[时间安排明确] -> [中性情绪]
[浪漫氛围] -> [愉悦/开心]
[有历史感] -> [中性]
[灯光景观有吸引力] -> [兴趣/好奇]
[适合Cosplay活动] -> [期待/盼望]
[有文化底蕴] -> [敬佩/崇敬]
[怀旧氛围] -> [怀旧/温馨]
[有设计感] -> [兴趣/好奇]; [标志性建筑] -> [愉悦/开心]
[精致工业风] -> [愉悦/开心]; [秋日美景] -> [放松/平静]
[出片] -> [愉悦/开心]; [被幸福闪到] -> [幸福/感动]
[靓丽的风景] -> [愉悦/开心]; [复古的意味] -> [怀旧]; [历史故事见证] -> [兴趣/好奇]
[蛮出片] -> [愉悦/开心]; [安静氛围] -> [放松/平静]
[有氛围感] -> [愉悦/开心]; [浪漫氛围] -> [浪漫]
[壮观] -> [敬畏/惊叹]; [适合拍照] -> [愉悦/开心]
[网红打卡点] -> [愉悦/开心]; [《情深深雨蒙蒙》取景地] -> [兴趣/好奇]
[路线不清晰] -> [挫败/烦恼]; [步行费力] -> [挫败/烦恼]
['我买几个橘子去'的文学联想] -> [怀旧/温馨]
[街区氛围热闹] -> [愉悦/开心]; [特色小吃] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]; [长江日落] -> [放松/平静]
[有历史感] -> [怀旧/温馨]; [交通功能完善] -> [舒适/安全]
[有历史感] -> [兴趣/好奇]; [浦口已修缮] -> [失望/悲伤]
[值得来看] -> [愉悦/开心]; [自然宁静氛围] -> [放松/平静]
[氛围感强] -> [愉悦/开心]; [放松体验] -> [放松/平静]
[出片] -> [愉悦/开心]; [日落+江风] -> [放松/平静]
[安静氛围] -> [放松/平静]; [适合拍照] -> [愉悦/开心]
[文艺氛围] -> [忧郁/沉思]; [记录青春] -> [怀旧/温馨]
[悠闲愉快] -> [放松/平静]; [浪漫] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]; [天堑变通途] -> [敬畏/惊叹]
[人多拥挤] -> [疲惫/失望]; [春光明媚] -> [愉悦/开心]
[期待江豚出现] -> [失望/悲伤]
[宝藏小鱼馆] -> [愉悦/开心]; [第一次吃青花椒臭鳜鱼] -> [兴趣/好奇]
[好chill] -> [放松/平静]; [橘子海日落] -> [愉悦/开心]; [沉浸式展览] -> [兴趣/好奇]
[怀旧氛围] -> [怀旧/温馨]; [电影感画面] -> [愉悦/开心]
[绝佳好去处] -> [放松/平静]; [很适合做背景] -> [愉悦/开心]
[推荐17:30班次] -> [愉悦/开心]
[文学背景] -> [兴趣/好奇]; [文艺风格] -> [愉悦/开心]
[好看/出片] -> [愉悦/开心]; [有氛围感] -> [放松/平静]; [有设计感] -> [敬畏/惊叹]
[灵魂碰撞] -> [感动]; [民国史联想] -> [怀旧/温馨]
[辽阔大气] -> [愉悦/开心]
[美到无与伦比] -> [愉悦/开心]; [壮丽晚霞] -> [敬畏/惊叹]
[视觉效果满足摄影需求] -> [放松/平静]
[微笑精灵] -> [兴趣/好奇]; [珍稀物种] -> [敬畏/惊叹]
[宁静氛围] -> [放松/平静]; [视觉美感] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]; [有象征意义/有故事/熟悉/怀旧] -> [自豪/归属感]
[怀旧] -> [怀旧/温馨]
[浪漫路线] -> [愉悦/开心]; [怀旧氛围] -> [怀旧/温馨]
[最美日落路线] -> [愉悦/开心]; [时光的痕迹] -> [放松/平静]
[出片] -> [愉悦/开心]; [怀旧氛围] -> [怀旧/温馨]
[自然景观丰富] -> [兴趣/好奇]; [长江江豚] -> [敬畏/惊叹]
[最美] -> [愉悦/开心]
[价格低廉] -> [愉悦/开心]; [江风吹拂] -> [舒适/安全]
[有历史感] -> [中性情感]
[还不错] -> [愉悦/开心]
[浪漫氛围] -> [愉悦/开心]; [宁静夕阳] -> [放松/平静]
[高品质人居] -> [自豪/归属感]; [发展前景] -> [兴趣/好奇]
[情怀期待] -> [兴趣/好奇]; [商业化严重] -> [失望/悲伤]
[集体记忆] -> [怀旧/温馨]; [被炸毁] -> [悲伤/失望]
[超级出片] -> [愉悦/开心]; [惬意] -> [放松/平静]
[历史文化价值] -> [自豪/归属感]; [江景资源] -> [兴趣/好奇]
[推动岸线功能转型] -> [自豪]; [文旅融合发展] -> [期待]
[极致灯景] -> [愉悦/开心]; [江豚微笑] -> [温暖]
[绝美] -> [愉悦/开心]
[治愈氛围] -> [放松/平静]; [唯美日落] -> [愉悦/开心]; [震撼景观] -> [敬畏/惊叹]
[怀旧感] -> [怀旧/温馨]; [逝去的背影] -> [悲伤/失落]
[设计很克制] -> [舒适/安全]; [运营不佳] -> [失望/悲伤]
[宁静氛围] -> [放松/平静]; [历史感] -> [怀旧/温馨]
[文艺氛围] -> [放松/平静]; [出片体验] -> [愉悦/开心]
[清新文艺] -> [愉悦/开心]; [chill氛围] -> [放松/平静]
[极好的] -> [愉悦/开心]
[历史感] -> [怀旧/温馨]; [文化底蕴] -> [自豪/归属感]; [独特建筑风貌] -> [兴趣/好奇]
[适合拍照] -> [愉悦/开心]; [有历史感] -> [兴趣/好奇]
[民国风格街区] -> [怀旧/温馨]; [出片效果] -> [愉悦/开心]
[生态保护意义] -> [自豪/归属感]; [研学趣味性] -> [兴趣/好奇]
[心情瞬间变得很好] -> [愉悦/开心]; [拍照绝佳] -> [放松/平静]
[高品质项目] -> [兴趣/好奇]; [优越地理位置] -> [愉悦/开心]
[舒适] -> [放松/平静]; [惬意] -> [愉悦/开心]
[超级好拍] -> [愉悦/开心]
[绝佳落日景观] -> [愉悦/开心]
[菜品评价] -> [愉悦/开心]; [环境评价] -> [舒适/安全]
[票价低廉] -> [舒适/安全]; [免费服务] -> [兴趣/好奇]
[放松又热闹] -> [愉悦/开心]; [自然共生] -> [放松/平静]
[温馨氛围] -> [舒适/安全]; [欢乐时光] -> [愉悦/开心]
[红色文化保护] -> [自豪/归属感]; [创新性研究] -> [兴趣/好奇]
[好美] -> [愉悦/开心]
[美哭了] -> [敬畏/惊叹]; [氛围感] -> [愉悦/开心]
[有回忆] -> [怀旧/温馨]
[充满离别氛围] -> [不舍; 无奈]
[开阔江景] -> [兴趣/好奇]; [停车不便] -> [挫败/烦恼]
[对时间、记忆和现实本质的思考] -> [兴趣/好奇; 沉思]
[复古氛围] -> [愉悦/开心]; [怀旧感] -> [放松/平静]
[视野极佳] -> [愉悦/开心]; [拍照效果好] -> [愉悦/开心]
[有历史感] -> [兴趣/好奇]; [有故事] -> [兴趣/好奇]
[可能遭遇1954年特大洪水] -> [紧张、责任感]; [防汛部署] -> [有组织性]
[出片] -> [愉悦/开心]; [温柔日落] -> [放松/平静]; [绝美日落] -> [敬畏/惊叹]
[适合聚会] -> [兴趣/好奇]; [有互动节目] -> [愉悦/开心]
[很美] -> [愉悦/开心]; [开阔江景] -> [放松/平静]
[出片] -> [愉悦/开心]; [美食] -> [兴趣/好奇]
[标志性建筑] -> [自豪/归属感]; [拍照打卡] -> [兴趣/好奇]
[很出片] -> [愉悦/开心]; [宁静氛围] -> [放松/平静]
[历史联想] -> [怀旧/温馨]; [喜欢考古] -> [兴趣/好奇]
[特别美] -> [愉悦/开心]; [惬意] -> [放松/平静]
[有历史感] -> [怀旧/温馨]; [出片] -> [愉悦/开心]
[美的浪漫] -> [愉悦/开心]; [温柔多情] -> [放松/平静]; [怀旧] -> [怀旧/温馨]
[不错夕阳体验] -> [兴趣/好奇]; [餐饮性价比低] -> [失望/悲伤]
[少女风审美] -> [愉悦/开心]; [舒适拍照条件] -> [放松/平静]
[好看/出片] -> [愉悦/开心]
[浪漫氛围] -> [愉悦/开心]; [开阔江景] -> [放松/平静]
[风景优美] -> [放松/平静]; [历史水文数据] -> [敬畏/惊叹]
[有历史感] -> [怀旧]; [耐看] -> [敬佩]
[美丽景色] -> [愉悦/开心]; [出片体验] -> [放松/平静]
[出片] -> [愉悦/开心]; [日出美] -> [敬畏/惊叹]
[鎏金璀璨夜景] -> [愉悦/开心]; [历史课本封面场景] -> [自豪/归属感]
[风景好看] -> [愉悦/开心]
[文化传播] -> [自豪/归属感]; [历史感] -> [兴趣/好奇]
[惬意氛围] -> [放松/平静]; [喜欢的环境] -> [愉悦/开心]
[安静惬意] -> [放松/平静]; [出片率高] -> [愉悦/开心]; [历史厚重感] -> [敬畏/惊叹]
[免费服务] -> [舒适/安全]; [美丽风景] -> [兴趣/好奇]
[樱花美景] -> [愉悦/开心]; [踩坑经历] -> [挫败/烦恼]
[怀旧] -> [悲伤/温馨]
[复古设计感] -> [愉悦/开心]; [江风吹拂] -> [放松/平静]
[绝版地段] -> [兴趣/好奇]; [外滩夜景] -> [愉悦/开心]; [4.8米层高] -> [惊叹]
[进站流程顺畅] -> [舒适/安全]
[安静氛围] -> [舒适/安全]; [夜景好看] -> [愉悦/开心]
[怀旧氛围] -> [怀旧/温馨]; [了解历史] -> [兴趣/好奇]
[绝佳机位] -> [愉悦/开心]; [多重buff] -> [敬畏/惊叹]; [国庆拍摄纪念意义] -> [自豪/归属感]
[热闹非凡] -> [敬佩/惊叹]; [别有一种怀旧的味道] -> [怀旧/温馨]
[有历史感] -> [怀旧/温馨]; [落日景观] -> [愉悦/开心]
[幸运感] -> [愉悦/开心]
[历史风韵尚在] -> [敬畏/惊叹]; [出片率高] -> [愉悦/开心]
[出片效果] -> [愉悦/开心]; [摄影成果] -> [自豪/归属感]
[玻璃栈桥灯光] -> [愉悦/开心]; [江边晚风] -> [放松/平静]
[休闲放松氛围] -> [愉悦/开心]; [完整游览体验] -> [兴趣/好奇]
[承载特殊情感与记忆] -> [怀旧/温馨]
[大片质感] -> [自豪/归属感]; [王家卫电影感] -> [兴趣/好奇]
[橘色黄昏] -> [愉悦/开心]; [民国建筑] -> [怀旧/温馨]; [火车鸣笛声] -> [敬畏/惊叹]
[视觉美感强] -> [愉悦/开心]
[承载民国历史记忆] -> [怀旧/温馨]; [文艺风格] -> [敬佩/惊叹]
[装修在线] -> [愉悦/开心]; [安静氛围] -> [放松/平静]
[沉重的历史联想] -> [悲伤]; [对亲情理想化的遗憾] -> [失望]
[人群拥挤] -> [烦躁/不耐烦]
[电影质感] -> [愉悦/开心]; [心胸开阔] -> [放松/平静]
[出片] -> [愉悦/开心]; [放松] -> [放松/平静]
[民国风情] -> [愉悦/开心]; [食物一般] -> [失望/悲伤]; [母校回忆] -> [怀旧/温馨]
[风景漂亮] -> [愉悦/开心]; [体验感完胜] -> [兴趣/好奇]
[路线清晰] -> [中性情绪]
[充实] -> [愉悦/开心]; [历史感] -> [敬畏/惊叹]
[怀旧氛围] -> [怀旧/温馨]; [民国风情照片] -> [愉悦/开心]
[生态感] -> [兴趣/好奇]; [看到江豚] -> [愉悦/开心]
[放松氛围] -> [放松/平静]; [美食体验] -> [愉悦/开心]
[风格多元] -> [愉悦/开心]; [适合拍照] -> [放松/平静]
[怀旧氛围] -> [怀旧/温馨]
[巨出片] -> [愉悦/开心]; [时空碰撞感] -> [敬畏/惊叹]
[小众但出片效果好] -> [愉悦/开心]; [初片程度绝对不一般] -> [兴趣/好奇]
[巨美] -> [愉悦/开心]; [氛围感强] -> [兴趣/好奇]; [宛如海滨城市] -> [敬畏/惊叹]
[风景可以观赏] -> [愉悦/开心]; [方便实用] -> [舒适/安全]
[故事感] -> [愉悦/开心]; [历史氛围] -> [怀旧/温馨]
[文化联想] -> [期待]; [未见雕像] -> [失望/悲伤]
[浪漫氛围] -> [愉悦/开心]; [绝美景观] -> [放松/平静]
[排队时间长] -> [挫败/烦恼]
[出片] -> [愉悦/开心]; [历史感] -> [自豪/归属感]; [胶片风格] -> [兴趣/好奇]
[浪漫氛围] -> [愉悦/开心]; [宁静江风] -> [放松/平静]; [震撼景观] -> [敬畏/惊叹]
[深厚历史文化意义] -> [敬佩]; [保护过度限制使用] -> [惋惜]
[走走坐坐比较轻松] -> [舒适/安全]
[自然联结感] -> [放松/平静]; [生命感知] -> [敬畏/惊叹]
[拍照出片] -> [愉悦/开心]; [成片的水杉和睡莲非常舒服] -> [放松/平静]
[历史关联] -> [怀旧/温馨]; [影视取景地] -> [兴趣/好奇]
[适合citywalk] -> [放松/平静]; [秋景] -> [愉悦/开心]
[路线清晰] -> [中性]
[可爱疯] -> [愉悦/开心]
[便宜、划算] -> [愉悦/开心]
[风景很棒] -> [愉悦/开心]; [江风吹在身上很是舒服] -> [舒适/安全]
[舒服] -> [放松/平静]
[光影有质感] -> [愉悦/开心]; [成功修图] -> [自豪/归属感]
[视觉美感] -> [愉悦/开心]; [美食香味] -> [兴趣/好奇]
[金陵全景尽收眼底] -> [惊叹]; [历史文化氛围浓厚] -> [尊重/敬仰]
[电影感大片] -> [愉悦/开心]; [复古氛围] -> [怀旧/温馨]; [故事感] -> [兴趣/好奇]
[浪漫氛围] -> [愉悦/开心]
[安宁氛围] -> [放松/平静]; [历史意义] -> [敬畏/惊叹]
[浪漫氛围] -> [愉悦/开心]; [宁静环境] -> [放松/平静]
[浪漫氛围] -> [愉悦/开心]; [文学记忆关联] -> [敬畏/惊叹]
[积极情绪价值] -> [愉悦/开心]; [路程较长] -> [放松/平静]
[独特氛围] -> [兴趣/好奇]; [有历史感] -> [愉悦/开心]
[优质教育资源] -> [兴趣/好奇]; [高端居住氛围] -> [自豪/归属感]
[灯光设计美观] -> [愉悦/开心]; [适合拍照] -> [兴趣/好奇]
[美丽] -> [愉悦/开心]
[放松氛围] -> [放松/平静]; [亲子互动] -> [愉悦/开心]
[很美] -> [愉悦/开心]; [历史底蕴] -> [敬畏/惊叹]
[复古温暖] -> [愉悦/开心]; [风景如画] -> [兴趣/好奇]; [优雅礼服派对] -> [自豪/归属感]
[有历史感] -> [敬畏/惊叹]; [视野开阔] -> [放松/平静]
[浪漫氛围] -> [愉悦/开心]; [气势磅礴的长江大桥] -> [敬畏/惊叹]
[性价比高] -> [满足]; [味道好] -> [愉悦/开心]
[有文化底蕴] -> [怀旧/温馨]; [适合拍照] -> [愉悦/开心]
[好看/出片] -> [愉悦/开心]; [惬意] -> [放松/平静]
[浪漫氛围] -> [愉悦/开心]; [chill氛围] -> [放松/平静]
[夜景好看] -> [愉悦/开心]; [刚好赶上落日余晖] -> [放松/平静]
[功能分区明确] -> [舒适/安全]; [景色优美] -> [兴趣/好奇]
[休闲氛围] -> [放松/平静]; [怀旧记忆] -> [怀旧/温馨]
[个人记忆] -> [怀旧/温馨]; [记录火车站] -> [心满意足]
[有氛围感] -> [愉悦/开心]; [国庆节氛围浓厚] -> [兴趣/好奇]
[有历史感] -> [Neutral]
[治愈] -> [放松/平静]; [氛围感拉满] -> [愉悦/开心]; [浪漫] -> [兴趣/好奇]
[出片效果好] -> [愉悦/开心]; [浪漫氛围] -> [敬畏/惊叹]
[文艺气息浓厚] -> [兴趣/好奇]; [阿姨们的夸奖声] -> [自豪/归属感]
[有故事] -> [怀旧/温馨]
[怀旧氛围] -> [怀旧/温馨]; [错过记录机会] -> [遗憾/失望]
[轮渡停航] -> [挫败/烦恼]; [完成游览] -> [放松/平静]
[适合遛娃] -> [愉悦/开心]; [开阔江景] -> [放松/平静]; [优质绘本] -> [兴趣/好奇]
[太美啦] -> [愉悦/开心]; [开阔江景] -> [放松/平静]; [橘子海落日] -> [敬畏/惊叹]
[沉重氛围] -> [悲伤]; [悲剧历史] -> [沉重]
[无法形容的美] -> [愉悦/开心; 敬畏/惊叹]
[历史纪念意义] -> [怀旧/温馨]; [大厅被锁] -> [遗憾/失望]
[有历史感] -> [怀旧/温馨]; [有故事] -> [敬畏/惊叹]
[承载南京人回忆] -> [怀旧/温馨]; [拍摄氛围感] -> [愉悦/开心]
[怀旧氛围] -> [怀旧/温馨]; [宁静氛围] -> [放松/平静]
[出片] -> [愉悦/开心]; [展现国家发展] -> [敬畏/惊叹]
[真实感] -> [愉悦/开心]; [宽厚雄伟] -> [敬畏/惊叹]; [出片] -> [愉悦/开心]; [夜景压抑] -> [轻微焦虑]
[有历史感] -> [敬畏/惊叹]; [出片] -> [愉悦/开心]
[安静平和氛围] -> [放松/平静]; [生活场景观察] -> [兴趣/好奇]
[怀旧氛围] -> [怀旧/温馨]; [拍照出片效果好] -> [愉悦/开心]
[年代电影感] -> [愉悦/开心]; [怀旧车站] -> [怀旧/温馨]
[震撼博物馆] -> [敬畏/惊叹]; [浪漫音乐台] -> [愉悦/开心]
[灯光好看] -> [愉悦/开心]; [火车经过] -> [兴趣/好奇]
[好看且设计用心] -> [愉悦/开心]; [轻松氛围] -> [放松/平静]
[秋意正当时] -> [放松/平静]; [历史感] -> [愉悦/开心]
[穿越百年时光] -> [怀旧/温馨]; [绝美日落] -> [愉悦/开心]; [电影滤镜] -> [愉悦/开心]
[很出片] -> [兴趣/好奇]; [内部不可进入] -> [些许遗憾]
[无敌惬意] -> [放松/平静]; [超级好看] -> [愉悦/开心]
[视野开阔] -> [愉悦/开心]
[太美了] -> [愉悦/开心]; [舒服] -> [放松/平静]
[充满历史情怀] -> [怀旧/温馨]
[轻松氛围] -> [放松/平静]; [骑行顺畅] -> [愉悦/开心]
[口味很好] -> [愉悦/开心]; [非常舒服] -> [放松/平静]
[浪漫氛围] -> [愉悦/开心]; [治愈效果] -> [放松/平静]
[有历史感] -> [敬畏/惊叹]; [繁花感] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静]
[有文化底蕴] -> [怀旧/温馨]; [视野开阔] -> [愉悦/开心]
[出片] -> [愉悦/开心]; [放松] -> [放松/平静]
[美哭] -> [愉悦/开心]; [浪漫氛围] -> [敬畏/惊叹]
[历史感] -> [敬佩/赞叹]; [独特设计] -> [兴趣/好奇]
[文艺氛围] -> [放松/平静]; [怀旧元素] -> [怀旧/温馨]
[视觉震撼] -> [敬畏/惊叹]; [路径设计缺陷] -> [挫败/烦恼]
[浪漫氛围] -> [愉悦/开心]; [沉浸式体验] -> [放松/平静]; [天光水影] -> [敬畏/惊叹]
[渡轮时间安排不合理] -> [失望/悲伤]; [民国建筑氛围] -> [兴趣/好奇]
[支付便捷] -> [愉悦/开心]; [设计合理] -> [舒适/安全]
[坠佳观赏] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静]
[超美] -> [愉悦/开心]; [日落] -> [敬畏/惊叹]
[出片效果] -> [愉悦/开心]; [日落美景] -> [兴趣/好奇]
[历史感] -> [怀旧/温馨]
[灼灼芳华] -> [愉悦/开心]; [万物生的生机感] -> [敬畏/惊叹]
[休闲放松氛围] -> [愉悦/开心]
[壮观长江景] -> [惊叹/敬畏]; [五星红旗迎风飘扬] -> [愉悦/开心]
[适合观赏落日] -> [愉悦/开心]; [宁静氛围] -> [放松/平静]
[浪漫氛围] -> [愉悦/开心]; [视觉美感] -> [放松/平静]
[人少景美] -> [放松/平静]; [工业风建筑] -> [兴趣/好奇]
[历史记忆] -> [怀旧/温馨]; [城市变迁] -> [悲伤/失望]
[包出片] -> [愉悦/开心]; [亲子活动] -> [放松/平静]
[好看/出片] -> [愉悦/开心]
[功能缺失] -> [挫败/烦恼]; [沉闷氛围] -> [失望/悲伤]
[很美] -> [愉悦/开心]; [落日晚霞] -> [敬畏/惊叹]
[宁静舒适氛围] -> [放松/平静]; [出片效果好] -> [愉悦/开心]
[出片] -> [愉悦/开心]; [咖啡好喝] -> [愉悦/开心]
[怀旧] -> [怀旧/温馨]
