关系抽取_RE_Spatial_Cognitive,关系抽取_RE_Cognitive_Emotion,关系抽取_RE_Emotion_Behavior,关系抽取_RE_Spatial_Emotion
[江边日落] -> [很美]; [蓝天绿草] -> [贼出片],[视觉美感强] -> [愉悦/开心],[愉悦/开心] -> [推荐],[江边日落] -> [愉悦/开心]
[浦口火车站] -> [中国最文艺火车站]; [浦口火车站] -> [承载民国历史记忆],[承载民国历史记忆] -> [怀旧/温馨]; [文艺风格] -> [敬佩/惊叹],[怀旧/温馨] -> [可能推荐],[文艺风格火车站建筑] -> [敬佩/惊叹]
[咖啡店数量增加] -> [功能性提升]; [夕Space露台] -> [视野开阔],[装修在线] -> [愉悦/开心]; [安静氛围] -> [放松/平静],[愉悦/开心] -> [推荐]; [放松/平静] -> [下次还来],[江景与落日] -> [治愈/放松]; [民国建筑] -> [文艺/怀旧]
,,,
[浦口火车站] -> [历史厚重感],[沉重的历史联想] -> [悲伤]; [对亲情理想化的遗憾] -> [失望],[悲伤和失望] -> [引发深刻反思],[浦口火车站] -> [怀旧与反思交织的情感]
无法判断,[人群拥挤] -> [烦躁/不耐烦],[烦躁/不耐烦] -> [劝退],无法判断
[民国风情街] -> [电影质感]; [江景] -> [心胸开阔],[电影质感] -> [愉悦/开心]; [心胸开阔] -> [放松/平静],[愉悦/开心] -> [推荐全家出游]; [放松/平静] -> [坐在江边的台阶上],[江风] -> [放松/平静]; [民国风情街] -> [兴趣/好奇]
[渡轮] -> [出片]; [浦口火车站旧址] -> [有历史感],[出片] -> [愉悦/开心]; [放松] -> [放松/平静],[愉悦/开心] -> [推荐/下次还来],[靠窗风景] -> [愉悦/开心]; [江风] -> [舒适]
[老火车站] -> [有历史感]; [柴火馄饨店] -> [味道一般],[民国风情] -> [愉悦/开心]; [食物一般] -> [失望/悲伤]; [母校回忆] -> [怀旧/温馨],[失望/悲伤] -> [不会推荐柴火馄饨]; [怀旧/温馨] -> [再来感受回忆],[老火车站] -> [怀旧/温馨]
[中山码头] -> [交通方便]; [五马渡] -> [适合自驾]; [长江大桥] -> [可以看到很多景点],[风景漂亮] -> [愉悦/开心]; [体验感完胜] -> [兴趣/好奇],[愉悦/开心] -> [推荐]; [兴趣/好奇] -> [拍摄照片],[长江大桥景观] -> [兴趣/好奇]
[江边路] -> [路线清晰],[路线清晰] -> [中性情绪],[中性情绪] -> [建议规划日落行程],
[下关火车公园] -> [可以近距离接触铁路]; [日落] -> [超级漂亮],[充实] -> [愉悦/开心]; [历史感] -> [敬畏/惊叹],[愉悦/开心] -> [推荐]; [敬畏/惊叹] -> [了解历史],[日落景观] -> [愉悦/开心]; [长江大桥] -> [敬畏/惊叹]
[浦口火车站] -> [有历史感]; [民国建筑群] -> [文艺/协调],[怀旧氛围] -> [怀旧/温馨]; [民国风情照片] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[民国建筑群] -> [怀旧/温馨]
[南京长江微笑驿站] -> [江豚易见]; [志愿者指导] -> [功能完善],[生态感] -> [兴趣/好奇]; [看到江豚] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[江豚母子] -> [喜爱/好奇]; [黑鸢飞舞] -> [敬畏/惊叹]
[绿皮火车] -> [怀旧感]; [江边区域] -> [视野开阔],[放松氛围] -> [放松/平静]; [美食体验] -> [愉悦/开心],[愉悦/开心] -> [推荐]; [放松/平静] -> [下次还来],[绿皮火车+日落] -> [治愈/浪漫]
[梧桐大道] -> [拍照难出片]; [灵谷寺路] -> [适合拍照],[风格多元] -> [愉悦/开心]; [适合拍照] -> [放松/平静],[愉悦/开心] -> [推荐],[夜景灯光] -> [很好看]
[浦口火车站] -> [有历史感],[怀旧氛围] -> [怀旧/温馨],[怀旧/温馨] -> [记忆留存],[老火车站元素] -> [怀旧/温馨]
[长江大桥] -> [巨出片]; [甲板高度] -> [摄影师可从上往下直拍],[巨出片] -> [愉悦/开心]; [时空碰撞感] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 下次还来],[波光粼粼] -> [愉悦/开心]; [列车在桥上行驶] -> [敬畏/惊叹]
[南京下关火车站旧址] -> [小众但出片效果好]; [绿皮火车] -> [初片程度绝对不一般],[小众但出片效果好] -> [愉悦/开心]; [初片程度绝对不一般] -> [兴趣/好奇],[愉悦/开心] -> [拍摄一组满意的照片/推荐],[绿皮火车] -> [兴趣/好奇]; [芦苇荡+江景] -> [放松/平静]
[江边日落栈道] -> [巨浪漫]; [摩天轮+小火车轨道] -> [超级氛围],[巨美] -> [愉悦/开心]; [氛围感强] -> [兴趣/好奇]; [宛如海滨城市] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 下次还来]; [敬畏/惊叹] -> [拍照体验非常满意],[橘色落日洒在江面] -> [愉悦/开心]; [摩天轮灯光] -> [惊叹/喜悦]
[玻璃栈道] -> [风景优美]; [步行路径] -> [路线清晰],[风景可以观赏] -> [愉悦/开心]; [方便实用] -> [舒适/安全],[舒适/安全] -> [推荐; 下次还来],[日出/日落] -> [愉悦/开心]
[浦口火车站] -> [古典与现代交织]; [旗袍与火车站] -> [充满故事感],[故事感] -> [愉悦/开心]; [历史氛围] -> [怀旧/温馨],[愉悦/开心] -> [推荐去拍照打卡],[火车站沧桑感] -> [怀旧/温馨]
[民国建筑] -> [历史感],[文化联想] -> [期待]; [未见雕像] -> [失望/悲伤],[失望/悲伤] -> [未看到雕像]; [期待] -> [下次还来],[民国建筑] -> [历史感]
[玻璃栈桥与长江大桥] -> [分分钟拍出故事感大片]; [橘子海日落] -> [双重浪漫],[浪漫氛围] -> [愉悦/开心]; [绝美景观] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[橘子海日落] -> [愉悦/开心]; [玻璃栈桥灯光] -> [放松/平静]
[中山码头] -> [排队时间长],[排队时间长] -> [挫败/烦恼],[挫败/烦恼] -> [不会推荐/劝退],[人群密集] -> [挫败/烦恼]
[轮渡] -> [适合拍胶片风照片]; [玻璃栈道] -> [出片]; [卸煤机] -> [有历史感],[出片] -> [愉悦/开心]; [历史感] -> [自豪/归属感]; [胶片风格] -> [兴趣/好奇],[兴趣/好奇] -> [拍照打卡]; [自豪/归属感] -> [推荐路线],[火车鸣笛声] -> [自豪/归属感]; [落日] -> [愉悦/开心]
[灯塔] -> [出片]; [晚霞] -> [绝配]; [江面] -> [橘子海效果],[浪漫氛围] -> [愉悦/开心]; [宁静江风] -> [放松/平静]; [震撼景观] -> [敬畏/惊叹],[愉悦/开心] -> [推荐日落地图]; [放松/平静] -> [感受午后时光],[橘子海日落] -> [治愈/愉悦]; [灯塔与晚霞] -> [惊叹/欣赏]
[欧式巴洛克风格大门] -> [有设计感]; [历史建筑群] -> [有历史感],[深厚历史文化意义] -> [敬佩]; [保护过度限制使用] -> [惋惜],[惋惜] -> [不推荐部分区域],[混搭建筑风格] -> [怀旧]; [名人关联] -> [敬佩]
[平地] -> [走走坐坐比较轻松],[走走坐坐比较轻松] -> [舒适/安全],[舒适/安全] -> [推荐/下次还来],[江景] -> [愉悦/开心]
[草地] -> [宽敞舒适]; [柳树] -> [遮阴好]; [阳光] -> [温暖治愈],[自然联结感] -> [放松/平静]; [生命感知] -> [敬畏/惊叹],[放松/平静] -> [等落日、放空]; [敬畏/惊叹] -> [推荐、下次还来],[江边的风] -> [舒适/安全]; [草木气息] -> [放松/平静]
,,,
[音乐台] -> [拍照出片]; [燕雀湖] -> [成片的水杉和睡莲非常舒服],[拍照出片] -> [愉悦/开心]; [成片的水杉和睡莲非常舒服] -> [放松/平静],[愉悦/开心] -> [推荐他人前往]; [放松/平静] -> [值得N刷],[鸽子齐飞] -> [自由/内心绽放]
[轮渡] -> [交通便捷]; [浦口码头] -> [历史氛围浓厚],[历史关联] -> [怀旧/温馨]; [影视取景地] -> [兴趣/好奇],[兴趣/好奇] -> [推荐/感兴趣],[朱自清文学意象] -> [怀旧/温馨]
[101明潮里] -> [潮流艺术园区]; [阅江楼] -> [中式美学氛围拉满],[适合citywalk] -> [放松/平静]; [秋景] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[银杏树秋色] -> [愉悦/开心]
[南堡公园] -> [路线清晰]; [下关西火车主题公园] -> [方便导航],[路线清晰] -> [中性],[中性] -> [导航],
[江豚跃出水面] -> [可爱疯],[可爱疯] -> [愉悦/开心],[愉悦/开心] -> [推荐来此观赏江豚并饮用特定饮品],[金黄色的江水] -> [愉悦/开心]
[轮渡] -> [便宜; 划算],[便宜、划算] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],
[南京眼步行桥附近滨江风光带] -> [风景很棒]; [游玩设施] -> [功能齐全],[风景很棒] -> [愉悦/开心]; [江风吹在身上很是舒服] -> [舒适/安全],[愉悦/开心] -> [推荐; 下次还来],[江风] -> [舒适/安全]
[江风] -> [舒服],[舒服] -> [放松/平静],[放松/平静] -> [江边散步],[江风] -> [放松/平静]
[长江大桥] -> [光影有质感]; [侧面光照] -> [更有质感],[光影有质感] -> [愉悦/开心]; [成功修图] -> [自豪/归属感],[兴趣/好奇] -> [分享拍摄和后期技巧],[光影效果] -> [愉悦/开心]
[菽庄花园] -> [公认蕞出片景点]; [钢琴博物馆] -> [亚洲蕞大]; [龙头路小吃街] -> [美食集中],[视觉美感] -> [愉悦/开心]; [美食香味] -> [兴趣/好奇],[愉悦/开心] -> [推荐/下次还来],[钢琴演奏] -> [舒适/安全]; [海景视野] -> [愉悦/开心]
[阅江楼] -> [鲜明的明代风格]; [登上阅江楼] -> [金陵全景尽收眼底],[金陵全景尽收眼底] -> [惊叹]; [历史文化氛围浓厚] -> [尊重/敬仰],[愉悦/开心] -> [推荐游览],[大江风光] -> [惊叹]
[复古候车大厅] -> [原汁原味的民国风情]; [江边落日] -> [氛围感强]; [绿皮火车] -> [很有故事感],[电影感大片] -> [愉悦/开心]; [复古氛围] -> [怀旧/温馨]; [故事感] -> [兴趣/好奇],[愉悦/开心] -> [推荐; 下次还来]; [怀旧/温馨] -> [留下复古回忆],[江边落日] -> [敬畏/惊叹]; [江风拂面] -> [舒适]
[玻璃栈道] -> [精致]; [长江大桥] -> [地标],[浪漫氛围] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[玻璃栈道] -> [浪漫/温馨]
[玻璃栈道] -> [漂亮]; [桥头堡] -> [红旗造型有特色],[安宁氛围] -> [放松/平静]; [历史意义] -> [敬畏/惊叹],[放松/平静] -> [坐那里都不想走了],[火车声+轮船声+知了声] -> [安宁放松]
[玻璃栈道] -> [浪漫]; [橘子海落日] -> [好看],[浪漫氛围] -> [愉悦/开心]; [宁静环境] -> [放松/平静],[愉悦/开心] -> [推荐]; [放松/平静] -> [下次还来],[橘子海落日] -> [愉悦/开心]; [江边长椅] -> [放松/平静]
[轮渡] -> [浪漫]; [日落] -> [浪漫],[浪漫氛围] -> [愉悦/开心]; [文学记忆关联] -> [敬畏/惊叹],[愉悦/开心] -> [推荐]; [敬畏/惊叹] -> [想常来],[浪漫日落] -> [愉悦/开心]
[落日] -> [很美]; [课文里的背影故事发生地] -> [有意义],[积极情绪价值] -> [愉悦/开心]; [路程较长] -> [放松/平静],[愉悦/开心] -> [推荐; 可能会再来],[江风] -> [舒适/安全]; [落日] -> [愉悦/开心]
[斑驳铁架] -> [有历史感]; [废弃铁轨] -> [独特氛围],[独特氛围] -> [兴趣/好奇]; [有历史感] -> [愉悦/开心],[兴趣/好奇] -> [推荐（适合拍摄）],[工业风格场景] -> [愉悦/开心]
[下关火车主题公园及网红映红桥] -> [景观资源富饶]; [户户直面阅江楼] -> [视觉美学优势],[优质教育资源] -> [兴趣/好奇]; [高端居住氛围] -> [自豪/归属感],[兴趣/好奇] -> [意向登记]; [自豪/归属感] -> [推荐/有兴趣],[户户直面阅江楼] -> [自豪/归属感]
[玻璃栈道] -> [地标/空间节点]; [指示箭头] -> [路线清晰],[灯光设计美观] -> [愉悦/开心]; [适合拍照] -> [兴趣/好奇],[兴趣/好奇] -> [推荐前往并拍摄],[落日与灯光同时出现] -> [愉悦/开心]
[美丽的日落] -> [美丽],[美丽] -> [愉悦/开心],[愉悦/开心] -> [邂逅一场美丽的日落],[美丽的日落] -> [愉悦/开心]; [长江大桥] -> [敬畏/惊叹]
[铁路轮渡旧址] -> [有历史感]; [滨江步道] -> [路线清晰],[放松氛围] -> [放松/平静]; [亲子互动] -> [愉悦/开心],[愉悦/开心] -> [推荐; 想常来],[阳光明媚] -> [舒适]; [孩子喜欢火车] -> [开心]
,,,
[纪念馆] -> [需提前预约]; [长江大桥与玻璃栈道] -> [不同地点],,,
[玻璃栈道] -> [一般]; [夕阳江景] -> [很美]; [长江大桥] -> [历史底蕴],[很美] -> [愉悦/开心]; [历史底蕴] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 值得一看],[夕阳江景] -> [愉悦/开心]; [长江大桥] -> [敬畏/惊叹]
[绿皮火车] -> [复古温暖]; [江边] -> [风景如画],[复古温暖] -> [愉悦/开心]; [风景如画] -> [兴趣/好奇]; [优雅礼服派对] -> [自豪/归属感],[愉悦/开心] -> [参加活动并分享社交媒体]; [兴趣/好奇] -> [想常来],[风景如画的江边] -> [兴趣/好奇]; [复古温暖的绿皮火车] -> [愉悦/开心]
,,,
[中山码头] -> [有历史感]; [长江大桥] -> [视野开阔],[有历史感] -> [敬畏/惊叹]; [视野开阔] -> [放松/平静],[放松/平静] -> [推荐; 下次还来],[落日景观] -> [愉悦/开心]
[夕阳] -> [浪漫]; [民国建筑] -> [很有历史感],[浪漫氛围] -> [愉悦/开心]; [气势磅礴的长江大桥] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 下次还来],[夕阳与晚霞] -> [浪漫]; [江风吹拂] -> [放松/平静]
[中山码头] -> [朝阳好看]; [小鱼馆] -> [性价比高],[性价比高] -> [满足]; [味道好] -> [愉悦/开心],[满足] -> [推荐; 下次还来],[朝阳] -> [愉悦/开心]
[浦口火车站] -> [中国最文艺的火车站]; [街区建筑] -> [保留原有外观风格],[有文化底蕴] -> [怀旧/温馨]; [适合拍照] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[文学影视关联场景] -> [兴趣/好奇]
[绿皮火车] -> [怀旧]; [橘子海落日] -> [好看/出片],[好看/出片] -> [愉悦/开心]; [惬意] -> [放松/平静],[愉悦/开心] -> [推荐/下次还来]; [放松/平静] -> [想和朋友一起来],[橘子海落日] -> [治愈/敬畏]; [微风] -> [舒适]
[玻璃栈道] -> [太美了]; [日落] -> [好浪漫],[浪漫氛围] -> [愉悦/开心]; [chill氛围] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[晚霞] -> [浪漫]; [日落] -> [愉悦/开心]
[渡轮] -> [刚好赶上落日余晖]; [秦淮河夜景] -> [夜景好看],[夜景好看] -> [愉悦/开心]; [刚好赶上落日余晖] -> [放松/平静],[愉悦/开心] -> [推荐; 计划再次来访],[落日余晖] -> [放松/平静]
[三层轮渡] -> [功能分区明确]; [晴天] -> [能看到长江大桥],[功能分区明确] -> [舒适/安全]; [景色优美] -> [兴趣/好奇],[兴趣/好奇] -> [建议晴天前往],[长江大桥景观] -> [兴趣/好奇]
[滨江风光带] -> [适合拍照]; [玻璃栈道] -> [适合拍照]; [铁路轮渡旧址] -> [很出片],[休闲氛围] -> [放松/平静]; [怀旧记忆] -> [怀旧/温馨],[愉悦/开心] -> [推荐给他人],[滨江风光] -> [愉悦/开心]; [火车声] -> [怀旧/温馨]
[南京西站] -> [有历史感]; [工业风建筑] -> [有特色],[个人记忆] -> [怀旧/温馨]; [记录火车站] -> [心满意足],[怀旧/温馨] -> [特意前往拍摄]; [心满意足] -> [记录火车站],[工业风建筑] -> [喜爱]
[长江大桥] -> [有氛围感]; [玻璃栈道] -> [导航可达],[有氛围感] -> [愉悦/开心]; [国庆节氛围浓厚] -> [兴趣/好奇],[愉悦/开心] -> [错峰旅游]; [兴趣/好奇] -> [观看亮灯],[灯光效果] -> [有氛围感]
[中山码头] -> [有历史感],[有历史感] -> [Neutral],,
[灯塔日落] -> [氛围感拉满]; [江边骑行] -> [治愈]; [梅花林] -> [拍照超仙],[治愈] -> [放松/平静]; [氛围感拉满] -> [愉悦/开心]; [浪漫] -> [兴趣/好奇],[放松/平静] -> [想待一整天]; [愉悦/开心] -> [推荐/下次还来],[橘色晚霞] -> [愉悦/开心]; [江风] -> [治愈]
[绿皮火车] -> [复古感]; [日落] -> [不要太好看],[出片效果好] -> [愉悦/开心]; [浪漫氛围] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 下次还来],[夕阳下的火车] -> [惊叹]; [江岸边日落] -> [愉悦]
[浦口火车站] -> [文艺气息浓厚]; [老站台雨廊] -> [历史氛围浓],[文艺气息浓厚] -> [兴趣/好奇]; [阿姨们的夸奖声] -> [自豪/归属感],[自豪/归属感] -> [推荐给特定群体],[民国风格建筑] -> [兴趣/好奇]; [阿姨们的夸奖声] -> [愉悦/开心]
[民国首都电厂旧址] -> [有文化底蕴],[有故事] -> [怀旧/温馨],[自豪/归属感] -> [无直接行为意图],[民国风格建筑] -> [怀旧/温馨]
[玻璃栈道] -> [明确的交通引导],,,
[铁路轮渡] -> [有工业历史感]; [铁路轮渡] -> [有文化底蕴],[怀旧氛围] -> [怀旧/温馨]; [错过记录机会] -> [遗憾/失望],[遗憾/失望] -> [错过江阴轮渡停航之前的记录机会],[铁路轮渡遗址] -> [怀旧/温馨]
[轮渡] -> [半小时一班]; [玻璃栈道] -> [如愿以偿],[轮渡停航] -> [挫败/烦恼]; [完成游览] -> [放松/平静],[挫败/烦恼] -> [改变计划沿江散步],[江景] -> [放松/平静]
[下关西火车主题街区] -> [适合遛娃]; [复古绿皮车] -> [太好看了]; [津浦书店] -> [适合小朋友],[适合遛娃] -> [愉悦/开心]; [开阔江景] -> [放松/平静]; [优质绘本] -> [兴趣/好奇],[愉悦/开心] -> [推荐; 下次还来]; [放松/平静] -> [可以待很久],[落日] -> [非常美]; [绣球花] -> [超美]
[火车主题公园] -> [出片]; [长江大桥] -> [很美]; [滨江步道] -> [适合citywalk],[太美啦] -> [愉悦/开心]; [开阔江景] -> [放松/平静]; [橘子海落日] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 下次还来],[橘子海落日] -> [愉悦/开心]; [江边冷风吹拂] -> [放松/平静]
[长江大桥] -> [作为自杀地点],[沉重氛围] -> [悲伤]; [悲剧历史] -> [沉重],[悲伤] -> [艺术创作],[血写文字] -> [沉重感]
[中山码头] -> [宁静壮观氛围]; [日落] -> [视觉美感强烈],[无法形容的美] -> [愉悦/开心; 敬畏/惊叹],[愉悦/开心; 敬畏/惊叹] -> [主动前往并停留观赏],[日落景观] -> [愉悦/开心; 敬畏/惊叹]
[中山码头] -> [历史纪念意义]; [浦口火车站] -> [民国特色],[历史纪念意义] -> [怀旧/温馨]; [大厅被锁] -> [遗憾/失望],[怀旧/温馨] -> [参观拍照]; [遗憾/失望] -> [停留时间短],[《背影》文学场景] -> [怀旧/温馨]
[中山码头] -> [有历史感]; [大马路] -> [曾经无比繁华],[有历史感] -> [怀旧/温馨]; [有故事] -> [敬畏/惊叹],[怀旧/温馨] -> [推荐/向往],[晚霞下的轮渡] -> [浪漫]; [岁月斑驳的建筑] -> [敬畏/惊叹]
[浦口火车站] -> [最美最文艺]; [大马路复古街区] -> [时光倒流],[承载南京人回忆] -> [怀旧/温馨]; [拍摄氛围感] -> [愉悦/开心],[愉悦/开心] -> [推荐他人前来体验],[绿皮火车和复古车厢] -> [愉悦/开心]
[下关火车主题园] -> [小众]; [绿皮火车] -> [怀旧],[怀旧氛围] -> [怀旧/温馨]; [宁静氛围] -> [放松/平静],[放松/平静] -> [周边居民常去]; [怀旧/温馨] -> [值得推荐],[江边落日余晖] -> [宁静美好]; [绿皮火车] -> [怀旧]
[日落] -> [出片]; [长江大桥] -> [展现国家发展],[出片] -> [愉悦/开心]; [展现国家发展] -> [敬畏/惊叹],[愉悦/开心] -> [推荐]; [愉悦/开心] -> [拍照体验满意],[日落] -> [愉悦/开心]; [大桥结构] -> [敬畏/惊叹]
[长江大桥] -> [真实感]; [长江] -> [宽厚雄伟]; [日落] -> [出片],[真实感] -> [愉悦/开心]; [宽厚雄伟] -> [敬畏/惊叹]; [出片] -> [愉悦/开心]; [夜景压抑] -> [轻微焦虑],[愉悦/开心] -> [拍照留念]; [轻微焦虑] -> [建议不要孤身一人],[长江壮阔景象] -> [敬畏/惊叹]; [日落美景] -> [愉悦/开心]
,,,
[浦口火车站] -> [沉甸甸的历史感]; [背影雕塑] -> [有文化气息],[有历史感] -> [敬畏/惊叹]; [出片] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[背影雕塑] -> [兴趣/好奇]; [历史建筑] -> [敬畏/惊叹]
[四平路] -> [极具生活气息]; [连锁饮品店] -> [人流密集],[安静平和氛围] -> [放松/平静]; [生活场景观察] -> [兴趣/好奇],[放松/平静] -> [骑行步行约1小时],[灯火通明的城市夜景] -> [放松/平静]
[八九十年代风格街区] -> [怀旧氛围]; [浦口码头] -> [与朱自清《背影》关联],[怀旧氛围] -> [怀旧/温馨]; [拍照出片效果好] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[漂亮的小姐姐与环境协调] -> [愉悦/开心]
,,,
[古老火车; 废旧铁轨; 怀旧车站] -> [年代电影感; 氛围感十足],[年代电影感] -> [愉悦/开心]; [怀旧车站] -> [怀旧/温馨],[愉悦/开心] -> [拍照; 推荐/下次还来],[怀旧车站] -> [怀旧/温馨]
,,,
[梧桐大道] -> [坠美]; [玄武湖落日] -> [氛围感封神],[震撼博物馆] -> [敬畏/惊叹]; [浪漫音乐台] -> [愉悦/开心],[愉悦/开心] -> [强烈推荐; 必须去],[樱花盛开] -> [愉悦/开心]; [白鸽飞舞] -> [放松/平静]
[玻璃栈道] -> [灯光很好看]; [人群走向] -> [跟着人群走就好啦],[灯光好看] -> [愉悦/开心]; [火车经过] -> [兴趣/好奇],[愉悦/开心] -> [推荐/下次还来],[灯光] -> [愉悦/开心]; [火车] -> [兴趣/好奇]
[滨江集市] -> [好看]; [巴胺风格设计] -> [适合拍照],[好看且设计用心] -> [愉悦/开心]; [轻松氛围] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[日落景色] -> [放松/平静]
[鼓楼滨江] -> [秋意正当时]; [铁路遗迹] -> [迷蒙幻影],[秋意正当时] -> [放松/平静]; [历史感] -> [愉悦/开心],[放松/平静] -> [喜欢该区域],[秋风] -> [清爽/舒适]
[复古绿皮轮渡] -> [穿越回1928年]; [工业废墟风江景] -> [自带电影滤镜]; [长江大桥日落] -> [镀上金边],[穿越百年时光] -> [怀旧/温馨]; [绝美日落] -> [愉悦/开心]; [电影滤镜] -> [愉悦/开心],[愉悦/开心] -> [推荐; 想常来],[江风] -> [舒适]; [日落] -> [愉悦/开心]
[绿皮火车] -> [很出片]; [芦苇] -> [很出片],[很出片] -> [兴趣/好奇]; [内部不可进入] -> [些许遗憾],[兴趣/好奇] -> [拍照]; [些许遗憾] -> [扫街],[绿皮火车] -> [兴趣/好奇]
[中山码头] -> [十分美丽]; [京艺术中心] -> [审美布局超级好看],[无敌惬意] -> [放松/平静]; [超级好看] -> [愉悦/开心],[放松/平静] -> [享受在三楼喝咖啡看码头的惬意时光],[江面和风] -> [暂时与世界脱离的感觉]
[轮渡] -> [票价低廉]; [船尾观景区] -> [视野更开阔],[视野开阔] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[开阔视野] -> [愉悦/开心]
,,,
[下关火车主题街区] -> [太美了]; [江风] -> [舒服],[太美了] -> [愉悦/开心]; [舒服] -> [放松/平静],[愉悦/开心] -> [推荐/下次还来]; [放松/平静] -> [待了很久],[傍晚景色] -> [治愈/惊叹]
[南京北站] -> [充满历史情怀]; [轮渡] -> [路线清晰],[充满历史情怀] -> [怀旧/温馨],[愉悦/开心] -> [推荐/下次还来],[轮渡旅程] -> [愉悦/开心]
[滨江大道] -> [路线清晰]; [滨江大道] -> [适合骑行],[轻松氛围] -> [放松/平静]; [骑行顺畅] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[温暖天气] -> [舒适/放松]
,,,
[装修风格] -> [非常有格调]; [灯光色调] -> [非常喜欢],[口味很好] -> [愉悦/开心]; [非常舒服] -> [放松/平静],[愉悦/开心] -> [下次还会再来],[阳光] -> [非常舒服]
[下关火车主题园] -> [浪漫]; [日落与晚霞] -> [治愈],[浪漫氛围] -> [愉悦/开心]; [治愈效果] -> [放松/平静],[愉悦/开心] -> [推荐]; [放松/平静] -> [可以治愈一切],[日落与晚霞] -> [治愈]
[小红楼] -> [有历史感]; [民国复古风咖啡厅] -> [繁花感拉满]; [空中花园] -> [浪漫],[有历史感] -> [敬畏/惊叹]; [繁花感] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静],[愉悦/开心] -> [推荐]; [放松/平静] -> [会待较长时间]; [敬畏/惊叹] -> [想深入了解],[汽笛声穿越晚霞] -> [放松/平静]; [日落江景] -> [愉悦/开心]
[轮渡] -> [支付便捷]; [观景台] -> [视野开阔],[有文化底蕴] -> [怀旧/温馨]; [视野开阔] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[江风] -> [舒适/放松]
[长江大桥] -> [地标意义]; [南堡公园] -> [出片],[出片] -> [愉悦/开心]; [放松] -> [放松/平静],[愉悦/开心] -> [推荐/下次还来],[落日] -> [放松/平静]
[下关西火车站] -> [有历史感]; [日落] -> [美哭],[美哭] -> [愉悦/开心]; [浪漫氛围] -> [敬畏/惊叹],[愉悦/开心] -> [推荐为南京人的lalaland],[日落和晚霞] -> [愉悦/开心]; [工业风建筑] -> [敬畏/惊叹]
[民国首都电厂旧址公园] -> [免费开放]; [历史陈列馆] -> [多媒体展示技术],[历史感] -> [敬佩/赞叹]; [独特设计] -> [兴趣/好奇],[兴趣/好奇] -> [推荐参观],[微缩版德国鲁尔工业区] -> [赞叹]; [仿船形建筑] -> [赞叹]
,,,
[浦口火车站旧址] -> [历史氛围]; [《背影》雕塑] -> [文学联想]; [大马路市集] -> [市井热闹],[文艺氛围] -> [放松/平静]; [怀旧元素] -> [怀旧/温馨],[愉悦/开心] -> [推荐; 下次还来],[夕阳江景] -> [愉悦/开心]; [夜间灯光] -> [放松/平静]
[长江大桥] -> [路线单一]; [玻璃栈道] -> [能欣赏长江大桥全貌和日落],[视觉震撼] -> [敬畏/惊叹]; [路径设计缺陷] -> [挫败/烦恼],[挫败/烦恼] -> [建议直接去玻璃栈道],[长江大桥全貌] -> [惊叹/敬畏]
,,,
[晚霞与天光水影] -> [不停变换]; [轮渡航线] -> [路线清晰],[浪漫氛围] -> [愉悦/开心]; [沉浸式体验] -> [放松/平静]; [天光水影] -> [敬畏/惊叹],[愉悦/开心] -> [推荐或有意重访]; [放松/平静] -> [人在船上仿佛融入江水之中],[晚霞与天光水影] -> [敬畏/惊叹]; [汽笛涛声] -> [放松/平静]
,,,
[中山码头渡轮服务] -> [渡轮时间安排不合理]; [浦口民国建筑] -> [有设计感/文艺感],[渡轮时间安排不合理] -> [失望/悲伤]; [民国建筑氛围] -> [兴趣/好奇],[失望/悲伤] -> [放弃渡轮改开车],[朱自清《背影》场景联想] -> [兴趣/好奇]
,,,
[渡轮] -> [支付方式便捷]; [分层设计] -> [功能分区明确],[支付便捷] -> [愉悦/开心]; [设计合理] -> [舒适/安全],[愉悦/舒适] -> [推荐],[体验不同楼层] -> [愉悦/开心]
[玻璃栈道] -> [坠佳观赏晚霞大桥江景火车]; [景观桥灯光] -> [浪漫氛围],[坠佳观赏] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[晚霞] -> [敬畏/惊叹]; [江风] -> [舒适/安全]
