关系抽取_RE_Spatial_Cognitive
[锦绣江山花园] -> [配套比较全]; [锦绣江山花园] -> [小区较老]
[下关火车主题公园] -> [有历史感]; [燕子矶滨江公园] -> [欣赏江景]
[长江大桥] -> [非常震撼]; [橘子海日落] -> [电影感拉满]
[浦口老火车站] -> [中国最文艺火车站]; [中山码头排队] -> [人多/拥挤]
[斑驳标牌] -> [历史感]; [红色砖瓦墙] -> [适合拍照]
[民国首都电厂旧址] -> [充满历史感]; [民国首都电厂宿舍] -> [有文化底蕴]
[江豚] -> [自然景观生动]; [长江大桥] -> [位置清晰]
[民国老房子] -> [古朴幽静]; [新建仿古街区] -> [千篇一律]
[轮渡全景玻璃] -> [超赞的]; [落日景观] -> [出片效果好]
[浦口码头] -> [怀旧感]; [颐和路] -> [有历史感]
[轮渡] -> [价格实惠]; [日落时间] -> [需要规划]
[中山码头] -> [打卡拍照]; [七哥渔小馆] -> [装修宜人; 菜品出色]
[101明潮里] -> [出片; 有创意]; [阅江楼] -> [中式美学氛围拉满]
[下关火车主题公园] -> [适合拍照创作]; [交通不便] -> [路线清晰度一般]
[火车模型] -> [充满创意]; [自然风光] -> [流连忘返]
[阅江楼] -> [心旷神怡]; [民国首都电厂旧址公园] -> [了解首都电厂的历史]
[滨江风光带] -> [自然风光迤逦]; [开发商统一精装修] -> [可以拎包入住]
[玻璃栈道] -> [出片]; [日落亮灯时分] -> [比较出片]
[玻璃栈道] -> [好chill]; [长江大桥] -> [浪漫氛围]
[长江大桥] -> [开阔]; [天气通透] -> [视觉效果好]
[711不二家软糖形象店] -> [有明确的活动指引和兑换流程]
[秋风] -> [温柔]
[下关火车主题公园] -> [适合带着家人四处走走]; [南京西站遗址] -> [有历史感]
[绿皮火车] -> [出片]; [江豚] -> [有趣]; [日落] -> [浪漫]
[排队现象] -> [功能性和易用性差]
[玻璃栈道夜景] -> [浪漫]; [晚霞] -> [更美]
[宁浦线轮渡] -> [时间安排明确]; [浦口火车站] -> [对外开放]
[新街口] -> [夜景灯光视觉效果吸引人]; [下关火车站] -> [适合拍摄的美学价值]
[长江落日] -> [出片]; [近代建筑群] -> [精致/有历史感]
[浦口车站历史风貌区] -> [太过于新了]; [夫子庙秦淮河景区等] -> [不同于改造之前]
[长江大桥] -> [夕阳下的大桥很美]; [公交69路] -> [路线清晰]
[中山码头] -> [百年历史码头]; [南京北站] -> [民国风站台]; [大马路民国街区] -> [复古建筑群]; [扬子江生态公园] -> [江景超美]
[日出] -> [好看]; [朝霞] -> [浪漫]
[江豚观赏平台] -> [可以看到江豚跳跃出水面]; [江豚书店] -> [文创居多]; [江豚观赏地（大舞台）] -> [云龙吐珠落日美极了]
[玻璃栈道] -> [非常好]; [银杏林] -> [景色宜人]; [落日] -> [拍照绝佳]
[轮渡] -> [浪漫]; [橘子海] -> [好看/出片]; [观景台] -> [视野开阔]
[下关火车主题公园] -> [适合拍照]; [工业风建筑] -> [有历史感]
[浦口火车站] -> [有历史感]; [江边风光] -> [风光无限]
[浦口老火车站遗址] -> [很有年代感]; [旗袍拍摄] -> [很出片]
[长江之恋游轮] -> [惊艳]; [日落时分] -> [绝美]
[中山码头] -> [景美]; [民国建筑] -> [有设计感]
[南京玻璃栈桥] -> [地标性景观]
[中山码头] -> [网红打卡地]; [江景] -> [无敌]
[紫峰大厦] -> [现代感强]; [长江大桥] -> [历史与现代交融]
[玻璃栈道] -> [好看/出片]; [霓虹灯光] -> [浪漫氛围]
[长江] -> [情感依恋]
[轮渡] -> [行程安排方便]; [浦口火车旧址] -> [适合拍照]
[扬子江生态公园] -> [橘子海氛围绝了]
[民国建筑风貌区] -> [非常出片]; [玻璃栈道] -> [视野开阔]; [桃花盛开] -> [心旷神怡]
[中山码头] -> [极致浪漫]; [橘子海日落] -> [像电影]
[中山码头] -> [松弛感]; [滨江步道] -> [骑行顺畅]
[下关滨江高楼] -> [视野开阔]; [中山码头、长江大桥、南京西站、阅江楼、紫峰大厦] -> [承载改革开放历史]
[工地围挡] -> [缺乏氛围感]; [夕阳] -> [夕阳很美]
[南京大学鼓楼小区] -> [需要预约]; [南堡公园] -> [建议从非正门进入]
[波光粼粼水面] -> [像海一样]; [粉粉绿绿春季景观] -> [精致]
[小火车] -> [电影感十足]; [夕阳] -> [绝美]
[江边] -> [可步行观赏江景]; [落日] -> [想再来体验]
[轮渡] -> [有文化意境]; [日落] -> [浪漫]
[浦口火车站] -> [有历史痕迹]; [民国建筑] -> [有设计感]
[夫子庙] -> [商业化严重]; [梧桐大道] -> [人太多]; [秦淮河夜景] -> [浪漫]
[中山码头] -> [纪念意义]; [浦口码头及火车站] -> [穿越感/时代特征]; [玻璃栈道] -> [气势磅礴的长江大桥]
[海尚艺术中心] -> [展陈与建筑配合非常精致]; [江南水师学堂遗址] -> [历史感]
[长江水生生物科普馆] -> [展览形式多样]; [科普互动装置] -> [知识性强]
[玻璃栈道] -> [有设计感]; [江景] -> [很美]; [达摩像] -> [历史感]
[下关主题园] -> [风景不错]; [长江大桥] -> [视野开阔]
[浦口火车站] -> [人少景美]; [黄墙绿窗] -> [复古感拉满]; [废铁轨] -> [时光停滞感]; [夕阳] -> [氛围感强]
[江边晚霞] -> [炒鸡美]; [喷泉溢出形成的水面] -> [天空之镜]
[南京长江大桥] -> [新中国技术成就与现代化的象征]
[下关江边] -> [很美]; [711便利店] -> [韩国街头感]
[米黄色外墙、红色屋顶] -> [英式风情]; [民国特色火车站] -> [历史厚重感]
[鼓楼滨江] -> [临近风光带]; [地铁5号、9号线] -> [交通便利]
[晚霞] -> [超级美]; [玻璃栈道] -> [出片]
[民国早期旧里风格建筑] -> [有历史感]; [无门禁] -> [可参观]
[鼓楼滨江风光带] -> [别样的浪漫]
[南京长江大桥] -> [体现自力更生精神]; [南京长江大桥] -> [社会主义建设的重要成就]
[狮子山;阅江楼;明城墙;鼓楼滨江观景带;秦淮河;小桃园公园] -> [完美集合多种景观]
[铁路轮渡栈桥] -> [有历史感]; [钢构架栈桥外壳] -> [略显荒凉]
[复古绿皮火车] -> [出片]; [落日长廊] -> [绝美]; [最美夕阳] -> [浪漫]
[落日; 余晖] -> [美好和谐氛围]; [自由的鸟] -> [自然之美]
[下关江边] -> [舒服/风大]; [长江江豚主题邮局] -> [有教育意义]
[下关火车主题公园] -> [民国感]; [橘子海日落] -> [浪漫]
[下关火车主题公园] -> [橘子海]; [中山码头轮渡] -> [地标级浪漫]; [长江大桥玻璃栈道] -> [美到失语]
[明城墙与现代地标同框] -> [有设计感]; [江面金箔感] -> [精致]
[浦口火车站] -> [文学联想（《背影》）]
[长江大桥] -> [雄伟壮观]; [长江大桥] -> [历史意义]
[下关火车主题公园] -> [适合游玩]; [长江大桥] -> [出片]
[天桥下的铁路] -> [适合拍照]; [挹江门光影] -> [很漂亮]
[下关火车主题公园] -> [让每一段旅程都充满故事]; [滨江边的风景] -> [视觉美感]
[鼓楼下关] -> [超高层舒适度差]; [路网建设] -> [混乱]
[火车遗址公园] -> [夕阳]; [浦口火车站] -> [朱自清笔下]
[玻璃栈桥] -> [通透变化的灯光秀]; [南京长江大桥] -> [厚重历史感]
[下关] -> [变化大]; [地铁5号线] -> [功能性提升]
[落日] -> [可好看]; [玻璃栈道] -> [机位很好找]
[X光机楼] -> [中西合璧建筑风格]; [X光机楼] -> [功能分区明确]
[玻璃栈道] -> [有设计感]; [玻璃栈道] -> [精致]; [玻璃栈道] -> [协调]
[景德镇市东郊] -> [三线建设时期工业布局]
[下关火车主题园] -> [清幽古朴]; [幕燕滨江风貌区] -> [浪漫诗意]
[江边观景道] -> [干净整洁]; [江豚观景地] -> [宁静/安静]
[玻璃桥] -> [晚上更好看]; [下关] -> [看足瘾]
[滨江绿道] -> [风景秀美]; [步行道] -> [轮椅通行方便]
[火车] -> [太有感觉了]; [绿植景观] -> [最佳拍摄点]
[扬子江公园] -> [不拥挤]; [江北核中核高层住宅] -> [视野一jue]
[夕Space艺术中心] -> [浪漫氛围感直接拉满]; [江景夕阳] -> [太太太浪漫了]
[下关火车主题公园] -> [非常好拍]; [日落时分] -> [非常好看]
[玻璃栈桥] -> [雄伟壮观]; [晚霞中的长江大桥] -> [视觉震撼]
[民国航海职员宿舍] -> [有历史感]; [民国电厂宿舍] -> [相对更原始]
[南京西站] -> [历史意义]
[浦口火车站] -> [有历史感]; [民国风格建筑] -> [有设计感]; [展馆] -> [了解更多故事]
[伞下板凳] -> [喜欢]; [修路施工] -> [差点以为走错]
[长江大桥] -> [震撼]; [日落] -> [适合拍照]
[树木] -> [彰显生命力]; [江边暖风] -> [散千万烦恼]
[扬子江生态公园] -> [出片]; [轮渡] -> [可以看到流金时刻或者日落时分]
[轮渡] -> [价格实惠]; [民国火车站] -> [时间凝固感]
[三层甲板] -> [无遮挡]; [游轮] -> [视野超好]
[南京长江大桥] -> [开创了我国自力更生建设大型桥梁的新纪元]; [工农兵雕像] -> [雄伟壮观]
[民国火车站] -> [保存最完好]; [火车站] -> [最文艺]
[玻璃栈道] -> [非常出片]
[英国中世纪城堡式建筑] -> [外观优美]; [明代城砖墙体] -> [古朴典雅]
[民国首都电厂] -> [有历史感]; [红砖与玻璃建筑] -> [独特工业美感]
[大马路] -> [充满历史痕迹]; [下关] -> [封锁着许多南京耄耋老人的记忆]
[浦口火车站] -> [最美最文艺]; [百年历史] -> [有历史感]
[浦口火车站] -> [很有年代感]; [长江大桥] -> [风景很好]
[长江大桥] -> [十分壮观]; [白玉兰花形路灯] -> [非常漂亮]
[中山码头] -> [拥挤/嘈杂]
[浦口火车站] -> [最文艺]
[绿皮火车] -> [有年代感]; [咖啡馆] -> [设施齐全]
[轮渡] -> [价格实惠]; [轮渡] -> [氛围感强]; [限定饮品] -> [精致便携]
[下关滨江] -> [视野开阔]; [灯塔] -> [好看]
[铁路轮渡栈桥] -> [工程精巧]; [活动引桥] -> [设计实用]
[双层结构] -> [结构清晰]; [人行道] -> [安全性高]
[落日余晖] -> [好看]; [夜晚亮灯] -> [出片]
[轮渡] -> [票价便宜]; [滨江区域] -> [适合骑行散步]
[夕Space落日餐厅] -> [浪漫; 温柔; 放松]; [临江优美环境] -> [适合放松]
[中山码头] -> [发现美食]
[江豚] -> [兴趣/好奇]; [江边景色] -> [太美了]
[咖啡店二楼] -> [独特私人空间]; [民国海军医院旧址] -> [选址巧妙]
[海上地铁] -> [千与千寻同款海景]; [沙坡尾白城沙滩] -> [日落时橘子海美哭]
[浦口] -> [有文化底蕴]
[浦口火车站] -> [承载历史记忆]
[灯塔] -> [好看/出片]; [再地西的新店合集] -> [太有氛围了]
[夕阳下的江面] -> [波光粼粼]; [浦口火车站街区] -> [一秒穿越民国时期]
[南京鼓楼滨江] -> [鸟类增多]
[浦口火车站] -> [中国现存最古老的火车站之一]; [民国时期建筑风格] -> [充满怀旧氛围]; [钟楼] -> [标志性建筑]
[玻璃栈道] -> [绝佳观景]; [长江大桥] -> [壮观]
[轮渡] -> [适合看江景及拍照]; [南京北站] -> [影视取景地]
[中山码头] -> [好看]; [夕阳] -> [很好看]
[英式建筑] -> [有设计感]; [历史背景] -> [有文化底蕴]
[蒸汽火车头] -> [年代感十足]; [绿皮车厢] -> [适合婚纱照]
[夕阳] -> [蛮摆的]; [江风] -> [舒适]
[长江大桥] -> [真的震撼]; [红五星雕塑与工农兵雕像群] -> [凝固着时代印记]; [玉兰灯点亮] -> [不一样的景色]
[夕Space落日餐厅] -> [适合拍照、用餐]; [日落景象] -> [出片]
[蒸汽火车头、绿皮火车车厢] -> [适合拍照]; [中山码头至浦口火车站路线] -> [价格便宜]
[老浦口车站] -> [民国感]; [下关火车公园] -> [出片]
[长江大桥] -> [登高揽胜]; [轮渡] -> [价格实惠]
[三层甲板] -> [拍照很美]; [长江两岸自然人文景观] -> [路线清晰]
[渡轮服务] -> [时间安排明确]
[中山码头轮渡] -> [浪漫]
[下关火车主题公园] -> [有历史感]; [南京西站] -> [有故事]
[玻璃栈桥灯光] -> [灯光景观有吸引力]
[下关火车主题园] -> [适合Cosplay活动]
[孙中山铜像] -> [有象征意义]; [中山码头] -> [有历史感]
[下关火车主题公园] -> [仿佛回到了民国时期]; [绿皮火车] -> [有历史感]
[玻璃栈道] -> [有设计感]; [长江大桥] -> [标志性建筑]
[老厂房改造] -> [有设计感]; [银杏秋色] -> [出片]; [电梯设施] -> [适合老年人]
[浦口火车站] -> [有历史感]; [火车站广场] -> [出片]
[浦口火车站] -> [中国唯一保存民国特色的火车站]; [民国风格建筑] -> [有设计感/精致]; [铁轨] -> [复古典型] -> [随手拍就是靓丽风景]
[楼梯与扶手] -> [蛮出片]; [江边风景] -> [蛮出片]
[框景日落] -> [精致/有设计感]; [大桥夜景] -> [浪漫]
[长江大桥] -> [壮观]; [玻璃栈道] -> [适合拍照]
[浦口火车站旧址] -> [《情深深雨蒙蒙》取景地]; [佛顶宫] -> [网红打卡点]
[长江大桥] -> [路线不清晰]; [玻璃栈道] -> [指示牌明确]
[江边] -> ['我买几个橘子去'的文学联想]
[街区设计] -> [有设计感]; [朱自清《背影》主题] -> [文化联想]
[火车车厢] -> [自带取景框效果]; [废弃铁轨和生锈设施] -> [很有感觉]
[百年历史] -> [有历史感]; [轮渡服务] -> [交通功能完善]
[大马路] -> [有历史感]
[玻璃栈桥] -> [确认自己不恐高]; [落叶迎风摇曳] -> [值得来看]
[江边餐厅] -> [氛围感强]; [室内落地窗] -> [视野好]
[老式站台] -> [怀旧风]; [步行道通往江边] -> [路线清晰]
[扬子江生态公园] -> [很适合拍照]; [长江日落] -> [有种安静的美]
[下关火车主题公园] -> [有历史感]; [春季环境] -> [青春感]
[轮渡] -> [忍不住觉得浪漫]; [码头咖啡] -> [小店很温馨]
[铁路轮渡栈桥旧址] -> [有故事]; [长江大桥] -> [天堑变通途]
[樱花大道] -> [人多/拥挤]; [长江大桥玻璃栈道] -> [路线明确]
[下关老火车站] -> [有历史感]; [江豚观赏点] -> [实际未见江豚]
[中山码头线路] -> [太多惊喜]; [三层中式庭院餐厅] -> [装修风格美]
[玻璃栈道] -> [世纪晚霞]; [长江大桥] -> [夜景漂亮]; [德基艺术博物馆] -> [沉浸式展览]
[列车车厢] -> [有历史感]; [晚霞] -> [出片]
[江边公园] -> [路线清晰]; [芦苇丛] -> [很适合做背景]
[渡轮] -> [日落景观观赏]; [17:30班次] -> [最佳日落观赏时间]
[轮渡] -> [分层设计合理]; [文艺打卡墙] -> [文艺风格]
[玻璃栈道] -> [好看/出片]; [霓虹灯] -> [有氛围感]; [江风] -> [放松/平静]
[浦口火车站] -> [文学与历史的双重震撼]; [站台石板、铁轨] -> [诉说过去的故事]
[长江、大桥、玻璃栈道、蓝天] -> [辽阔大气]
[玻璃栈道] -> [十分适合观看晚霞]; [晚霞] -> [美到无与伦比]
[三桥湿地公园江豚广场] -> [适合摄影的观测点]
[下关滨江风光带] -> [适合观测江豚]; [燕子矶] -> [江面宽阔水流平缓]
[南京长江大桥] -> [有设计感;精致;协调;新]; [夕阳缓缓落下] -> [视野开阔]
[老下关] -> [有历史感]; [鼓楼滨江] -> [有历史感]
[下关火车主题公园] -> [怀旧]
[中山码头] -> [性价比高]; [浦口火车站] -> [有历史感]
[轮渡] -> [景色大不相同]; [日落] -> [最美样子]
[中山码头] -> [出片]; [废弃火车站改造景点] -> [出片]
[长江] -> [烟波浩渺]; [轮渡] -> [经济实惠]
[中山码头] -> [最美日落]
[轮渡] -> [路线清晰]; [轮渡] -> [价格低廉]
[滨江风光带] -> [还不错]
[中山码头夕阳] -> [浪漫]; [2元轮渡] -> [亲民价格]
[长江岸线] -> [视野开阔]; [历史文化景观] -> [文人气韵绵延至今]
[浦口火车站] -> [与《背影》相关]; [小巷子] -> [别有一番风景]
[150米高的烟囱] -> [icon的天际线]; [民国首都电厂] -> [几代人的集体记忆]
[蒸汽火车头] -> [非常吸睛]; [绿皮火车车厢] -> [超级出片]; [江边日落] -> [氛围感十足]
[中山码头] -> [承载南京民国历史]; [滨江风光带] -> [吸引市民休闲观光]
[上元门观江平台] -> [高品质滨水旅游景观]; [游轮母港] -> [多元化消费场景]
[南京眼步行桥灯光] -> [美轮美奂]; [江豚观测点] -> [生态保护意义]
[绿皮火车和落日] -> [绝美]
[长江大桥] -> [震撼]; [轮渡日落] -> [治愈]; [玻璃栈道] -> [出片]
[斑驳的长廊] -> [沧桑感]; [锈蚀的轨道] -> [有历史感]; [梧桐落叶] -> [文艺]
[保留历史建筑] -> [设计很克制]; [运营不佳] -> [缺乏网红或连锁店铺]
[蒸汽火车] -> [有趣且可休息]; [铁路轮渡栈桥旧址] -> [适合拍照和发呆]
[梧桐树和阳光] -> [像重播老电影]; [民国风建筑] -> [很有格调]
[清新文艺小店] -> [易出片]; [复古绿工装风] -> [很好拍]
[玄武湖] -> [极好的]; [中山码头] -> [极好的]
[浦口火车站] -> [民国特色建筑]; [浦口码头] -> [独特建筑风貌]; [中山停灵台] -> [纪念意义]
[中山码头] -> [适合拍照]; [南京北站] -> [有历史感]
[民国建筑风格] -> [穿越感]; [京咖啡三楼平台] -> [出片]
[长江江豚科教中心] -> [教育意义强]; [江豚展示] -> [生动形象]
[白色主调+温暖阳光+独栋玻璃房] -> [简约温柔]; [户外空间] -> [迎接春天]
[地铁5号线] -> [交通便利]; [滨江景观带] -> [景观优美]
[玻璃栈道] -> [打卡点明显]; [映红桥] -> [夜景漂亮]
[长江大桥玻璃栈道] -> [超级好拍]
[长江落日] -> [绝佳]; [玻璃栈道] -> [视野更开阔]
[中山码头] -> [地理位置便利]; [餐厅环境] -> [温馨典雅]
[中山码头往返浦口码头] -> [票价低廉]; [燕子矶码头往返八卦洲轮船码头] -> [免费]
[江豚湾] -> [性价比超高]; [露营设施] -> [设施齐全]; [日落] -> [如梦如幻]
[圣诞装饰] -> [氛围感强]; [圣诞氛围] -> [浪漫]
[下关电厂旧址] -> [红色工运文化传承]; [微更新设计] -> [社区功能提升]
[红枫] -> [美哭了]; [梧桐大道] -> [赏秋]; [夜泊秦淮] -> [氛围感]
[150米大烟囱] -> [有历史感]
[车站] -> [充满离别氛围]
[浦口火车站] -> [中国最文艺的九个火车站之一]; [浦口火车站] -> [全国重点文物保护单位]
[南堡公园] -> [拍照首选]; [大桥公园] -> [停车不便]
[浦口老火车站] -> [有历史感]; [站台边的梧桐树] -> [美得让人陶醉]
[民国首都电厂旧址] -> [视野极佳]; [长江] -> [拍照也相当哇塞]
[铁路轮渡栈桥] -> [有历史感]; [铁路轮渡] -> [有故事]
[下关水位异常] -> [防汛压力增加]; [江河堤防薄弱地段] -> [需重点防护]
[橘子海] -> [出片]; [轮渡] -> [价格实惠]
[下关火车主题公园] -> [适合生日派对和团建]
[绿皮火车] -> [有历史感]; [玻璃栈道] -> [精致]; [落日] -> [很美]
[梧桐大道] -> [出片]; [颐和路] -> [好看]; [老门东] -> [人气旺]
[南京长江大桥] -> [标志性建筑]; [玻璃栈道] -> [拍照打卡]
[绿皮火车、轨道、站台] -> [有历史感]; [江边观景平台] -> [很出片]
[破败码头和车站] -> [普通]; [历史联想] -> [有文化底蕴]
[下关火车主题公园] -> [非常出片]; [网红机位P6] -> [出片]
[浦口火车站旧址] -> [有历史感]; [绿皮火车] -> [好看/出片]
[长江大桥] -> [美的浪漫]; [玻璃栈道] -> [出片]; [民国海军医院旧址] -> [回到民国时期]
[夕阳] -> [不错]; [商业餐饮设施] -> [性价比不高]
[蔷薇花墙] -> [容易出片]; [花墙颜色] -> [少女风审美]
[下关火车主题公园] -> [好看/出片]
[橘子海落日] -> [浪漫]; [滨江步道] -> [路线清晰]
[滨江绿道] -> [行走舒适]; [水位站] -> [有历史感]
[老大桥] -> [耐看]; [老大桥] -> [有设计感]
[中山码头] -> [导航明确]; [轮渡] -> [票价便宜]; [日落] -> [出片]
[绿皮火车] -> [出片/有历史感]; [映红桥] -> [看日出视野好]
[玻璃栈道] -> [出片效果好]; [大桥夜景] -> [视野开阔]
[江豚广场] -> [风景好看]
[下关火车主题公园] -> [历史感]
[纯白ins风] -> [好看/出片]; [原木色桌椅+绿植] -> [有设计感]
[红砖厂房与巨型吊车] -> [工业风叙事感强]; [玻璃房书屋] -> [文艺安静]; [锈蚀铁轨] -> [黄昏绝杀]
[轮渡] -> [免费且方便]; [江心洲] -> [风景挺美]
[樱花] -> [适合拍照]; [轮渡] -> [适合观光]
[复古火车站] -> [出片圣地]; [江边步道] -> [空间布局清晰]
[江景] -> [网红ins风]; [滨江漫步道] -> [下楼即滨江]; [外滩夜景] -> [小资生活氛围]
[东渡码头] -> [进站流程顺畅]
[老火车] -> [有设计感]; [江景] -> [夜景好看]
[老火车站] -> [有历史感]; [复古建筑] -> [设计独特]
[南京长江大桥、和谐号动车组、阅江楼、河西CBD天际线] -> [绝佳机位]; [晚霞映在幕墙上、桥头堡和阅江楼同时亮灯] -> [多重buff]
[浦口火车站] -> [热闹非凡]; [轮渡] -> [别有一种怀旧的味道]
[下关火车主题公园] -> [承载老下关记忆]; [玻璃栈桥] -> [落日景观]
[江豚] -> [看到江豚是幸运的]
[下关大马路] -> [历史风韵尚在]; [浦口火车站] -> [出片率高]
[浦口火车站] -> [复古]; [文艺街区] -> [出片]
[中山码头] -> [路线起点]; [民国首都电厂旧址公园] -> [历史感]; [下关火车主题公园] -> [怀旧]; [长江大桥玻璃栈桥] -> [灯光很美]
[三层甲板] -> [视野最好]; [下午航班] -> [天气通透; 阳光更好]
[长江大桥] -> [新中国技术成就与现代化的象征]
[霓虹灯; 招牌灯] -> [氛围感直接拉满]; [smart精灵三号] -> [小巧灵动]
[轮渡] -> [2元票价]; [民国首都电厂旧址公园] -> [景观平台视野好]; [铁路轮渡栈桥旧址] -> [厚重历史感]; [长江大桥玻璃栈道] -> [标志性建筑]
[江边日落] -> [很美]; [蓝天绿草] -> [贼出片]
[浦口火车站] -> [中国最文艺火车站]; [浦口火车站] -> [承载民国历史记忆]
[咖啡店数量增加] -> [功能性提升]; [夕Space露台] -> [视野开阔]
[浦口火车站] -> [历史厚重感]
[民国风情街] -> [电影质感]; [江景] -> [心胸开阔]
[渡轮] -> [出片]; [浦口火车站旧址] -> [有历史感]
[老火车站] -> [有历史感]; [柴火馄饨店] -> [味道一般]
[中山码头] -> [交通方便]; [五马渡] -> [适合自驾]; [长江大桥] -> [可以看到很多景点]
[江边路] -> [路线清晰]
[下关火车公园] -> [可以近距离接触铁路]; [日落] -> [超级漂亮]
[浦口火车站] -> [有历史感]; [民国建筑群] -> [文艺/协调]
[南京长江微笑驿站] -> [江豚易见]; [志愿者指导] -> [功能完善]
[绿皮火车] -> [怀旧感]; [江边区域] -> [视野开阔]
[梧桐大道] -> [拍照难出片]; [灵谷寺路] -> [适合拍照]
[浦口火车站] -> [有历史感]
[长江大桥] -> [巨出片]; [甲板高度] -> [摄影师可从上往下直拍]
[南京下关火车站旧址] -> [小众但出片效果好]; [绿皮火车] -> [初片程度绝对不一般]
[江边日落栈道] -> [巨浪漫]; [摩天轮+小火车轨道] -> [超级氛围]
[玻璃栈道] -> [风景优美]; [步行路径] -> [路线清晰]
[浦口火车站] -> [古典与现代交织]; [旗袍与火车站] -> [充满故事感]
[民国建筑] -> [历史感]
[玻璃栈桥与长江大桥] -> [分分钟拍出故事感大片]; [橘子海日落] -> [双重浪漫]
[中山码头] -> [排队时间长]
[轮渡] -> [适合拍胶片风照片]; [玻璃栈道] -> [出片]; [卸煤机] -> [有历史感]
[灯塔] -> [出片]; [晚霞] -> [绝配]; [江面] -> [橘子海效果]
[欧式巴洛克风格大门] -> [有设计感]; [历史建筑群] -> [有历史感]
[平地] -> [走走坐坐比较轻松]
[草地] -> [宽敞舒适]; [柳树] -> [遮阴好]; [阳光] -> [温暖治愈]
[音乐台] -> [拍照出片]; [燕雀湖] -> [成片的水杉和睡莲非常舒服]
[轮渡] -> [交通便捷]; [浦口码头] -> [历史氛围浓厚]
[101明潮里] -> [潮流艺术园区]; [阅江楼] -> [中式美学氛围拉满]
[南堡公园] -> [路线清晰]; [下关西火车主题公园] -> [方便导航]
[江豚跃出水面] -> [可爱疯]
[轮渡] -> [便宜; 划算]
[南京眼步行桥附近滨江风光带] -> [风景很棒]; [游玩设施] -> [功能齐全]
[江风] -> [舒服]
[长江大桥] -> [光影有质感]; [侧面光照] -> [更有质感]
[菽庄花园] -> [公认蕞出片景点]; [钢琴博物馆] -> [亚洲蕞大]; [龙头路小吃街] -> [美食集中]
[阅江楼] -> [鲜明的明代风格]; [登上阅江楼] -> [金陵全景尽收眼底]
[复古候车大厅] -> [原汁原味的民国风情]; [江边落日] -> [氛围感强]; [绿皮火车] -> [很有故事感]
[玻璃栈道] -> [精致]; [长江大桥] -> [地标]
[玻璃栈道] -> [漂亮]; [桥头堡] -> [红旗造型有特色]
[玻璃栈道] -> [浪漫]; [橘子海落日] -> [好看]
[轮渡] -> [浪漫]; [日落] -> [浪漫]
[落日] -> [很美]; [课文里的背影故事发生地] -> [有意义]
[斑驳铁架] -> [有历史感]; [废弃铁轨] -> [独特氛围]
[下关火车主题公园及网红映红桥] -> [景观资源富饶]; [户户直面阅江楼] -> [视觉美学优势]
[玻璃栈道] -> [地标/空间节点]; [指示箭头] -> [路线清晰]
[美丽的日落] -> [美丽]
[铁路轮渡旧址] -> [有历史感]; [滨江步道] -> [路线清晰]
[纪念馆] -> [需提前预约]; [长江大桥与玻璃栈道] -> [不同地点]
[玻璃栈道] -> [一般]; [夕阳江景] -> [很美]; [长江大桥] -> [历史底蕴]
[绿皮火车] -> [复古温暖]; [江边] -> [风景如画]
[中山码头] -> [有历史感]; [长江大桥] -> [视野开阔]
[夕阳] -> [浪漫]; [民国建筑] -> [很有历史感]
[中山码头] -> [朝阳好看]; [小鱼馆] -> [性价比高]
[浦口火车站] -> [中国最文艺的火车站]; [街区建筑] -> [保留原有外观风格]
[绿皮火车] -> [怀旧]; [橘子海落日] -> [好看/出片]
[玻璃栈道] -> [太美了]; [日落] -> [好浪漫]
[渡轮] -> [刚好赶上落日余晖]; [秦淮河夜景] -> [夜景好看]
[三层轮渡] -> [功能分区明确]; [晴天] -> [能看到长江大桥]
[滨江风光带] -> [适合拍照]; [玻璃栈道] -> [适合拍照]; [铁路轮渡旧址] -> [很出片]
[南京西站] -> [有历史感]; [工业风建筑] -> [有特色]
[长江大桥] -> [有氛围感]; [玻璃栈道] -> [导航可达]
[中山码头] -> [有历史感]
[灯塔日落] -> [氛围感拉满]; [江边骑行] -> [治愈]; [梅花林] -> [拍照超仙]
[绿皮火车] -> [复古感]; [日落] -> [不要太好看]
[浦口火车站] -> [文艺气息浓厚]; [老站台雨廊] -> [历史氛围浓]
[民国首都电厂旧址] -> [有文化底蕴]
[玻璃栈道] -> [明确的交通引导]
[铁路轮渡] -> [有工业历史感]; [铁路轮渡] -> [有文化底蕴]
[轮渡] -> [半小时一班]; [玻璃栈道] -> [如愿以偿]
[下关西火车主题街区] -> [适合遛娃]; [复古绿皮车] -> [太好看了]; [津浦书店] -> [适合小朋友]
[火车主题公园] -> [出片]; [长江大桥] -> [很美]; [滨江步道] -> [适合citywalk]
[长江大桥] -> [作为自杀地点]
[中山码头] -> [宁静壮观氛围]; [日落] -> [视觉美感强烈]
[中山码头] -> [历史纪念意义]; [浦口火车站] -> [民国特色]
[中山码头] -> [有历史感]; [大马路] -> [曾经无比繁华]
[浦口火车站] -> [最美最文艺]; [大马路复古街区] -> [时光倒流]
[下关火车主题园] -> [小众]; [绿皮火车] -> [怀旧]
[日落] -> [出片]; [长江大桥] -> [展现国家发展]
[长江大桥] -> [真实感]; [长江] -> [宽厚雄伟]; [日落] -> [出片]
[浦口火车站] -> [沉甸甸的历史感]; [背影雕塑] -> [有文化气息]
[四平路] -> [极具生活气息]; [连锁饮品店] -> [人流密集]
