行为活动_Behavior_Activities,行为活动_Behavior_Approach_Avoidance_Intent,行为活动_Behavior_Plan_Change,行为活动_Behavior_Activity_Evaluation
,,,
参观; 拍照; 阅读/文学联想; 发呆; 观景,推荐; 下次还来,否,拍照体验很好；阅读/文学联想令人感动
观景; 拍照,推荐; 想再来,否,拍照体验很棒
参观; 游览; 拍照,推荐（作为旅游项目）,否,蛮有意思
防汛部署会议; 修订预案; 签署责任书; 组建应急队伍; 基础设施维护; 河道清淤; 物资准备,,否,准备工作充分，具备应对重大汛情的能力
,,,
坐轮渡; 观景; 看日落; 拍照,推荐; 下次还来,否,风景和人像拍照都很出片
生日派对; 小型团建; 用餐; 参与互动节目,推荐; 想了解更多,否,认为活动适合团队建设
拍照; 观景; 散步; 打卡; 看日落,推荐; 下次还来,否,拍照很出片; 散步很放松
散步; 拍照; 观景; 打卡; 野餐; 聊天; 约会; 亲子活动; 遛狗; 发呆; 阅读; 看展览; 参观博物馆; 用餐; 购物,推荐; 下次还来; 想常来,否,拍照体验好; 餐饮选择满意
游览; 拍照; 打卡; 步行,推荐/可能重访,否,
拍照; 观景; 散步,推荐; 下次还来,否,拍照体验满意
游览; 观察; 沉思; 怀旧,喜欢/感兴趣,否,享受历史联想的过程
拍照; 散步; 观景; 乘坐交通工具,推荐; 下次还来,否,拍照体验满意; 散步惬意
拍照; 打卡; 观景; 参观历史遗迹; 亲子活动; 逛市集; 看建筑; 散步,推荐; 下次还来,否,拍照很出片; 亲子活动很开心
计划出行; 咨询,,是（因天气变化调整出行计划）,
,,,
,,,
散步; 拍照; 观景; 打卡; 乘坐轮渡; 野餐; 聊天; 亲子活动; 遛狗; 阅读; 看日落,推荐; 下次还来; 想常来,否,火车拍照很出片；沿江路走一走很休闲
观景; 游览; 就餐,下次可能不会再来,否,观夕阳体验尚可但餐饮体验不佳
拍照; 散步; 个人造型展示,推荐/下次还来,否,认为场景非常适合拍照
,,,
拍照; 散步,推荐; 下次还来,否,拍照很出片
散步; 徒步; 拍照; 观景; 坐轮渡; 打卡; 看落日,推荐; 下次还来,否,感觉可以原谅整个世界; 最值得的2元钱
散步; 观景; 观察自然; 拍照,推荐/下次还来,否,散步很舒适
观景,,,
拍照; 观景; 乘坐轮渡,推荐; 下次还来,否,日落时分非常出片
拍照; 观景; 打卡; 看日出; 散步; 阅读; 观看江豚,推荐; 下次还来,否,拍照很出片; 观赏江豚很开心
拍照; 散步; 夜跑; 观光游览; 乘坐公交,推荐; 下次还来,否,拍摄体验满意; 夜跑感受治愈
看日落,想常来,否,日落风景好看
,,,
参观博物馆; 亲子活动; 组团游览; 教育学习,推荐; 想常来,否,沉浸式感受海军发展; 模型丰富
休息; 拍照; 品尝咖啡; 享用甜品; 社交聊天,推荐; 下次还来,否,非常享受咖啡、甜品和环境的整体体验
散步; 步行游览; 拍照; 观景; 打卡; 阅读; 喝咖啡; 观察动物; 看日落; 亲子活动; 骑行,推荐; 想常来; 深度游推荐,否,步行游览很顺畅; 拍照体验很好; 观察江豚很有意思
乘坐轮渡; 骑行; 游览; 步行,推荐尝试,否,骑行吹吹风很惬意
旅游规划; 拍照; 乘坐地铁; 乘坐公交; 乘坐轮渡; 打车; 品尝美食,推荐武汉但强调需要攻略,是（因未做攻略而改变计划）,拍照体验满意; 美食体验满意; 交通便利但需提前规划
,,,
拍照; 散步; 观景; 观看江豚,推荐; 下次还来,否,拍照体验很好，但交通影响便利性
,,否,
居住; 观景; 拍照打卡; 投资,推荐/感兴趣/想购买,否,
,,,
乘坐轮渡; 打车; 排队进站,下次还来,否,进站过程顺畅，体验良好
观景; 就餐; 亲子活动,推荐; 下次还来,否,用餐体验满意，孩子喜欢，夜景观赏也很棒
参观; 拍照; 观景; 了解历史; 乘坐火车,想再来感受老车站氛围,否,拍照很有味道; 乘坐体验有特色
摄影; 观察天气; 选择拍摄时机,推荐该机位并鼓励尝试,否,成功拍到满意照片
乘坐轮渡,推荐/想体验,否,
旅行计划,有访问意愿,无法判断,无法判断
散步; 拍照; 观景; 旅游; 吃饭,推荐; 下次还来,否,适合轻松游览
观景; 拍照; 等待,想再来/想常来,否,不枉我从两点开始等
散步; 游览; 拍照; 观景; 乘坐轮渡; 参观历史建筑,推荐; 下次还来,否,适合拍照; 出片率高
拍照; 游览,推荐; 下次还来,否,拍照体验满意，伴侣摄影水平提升
citywalk; 乘坐轮渡; 拍照; 观景; 骑行; 饮用咖啡; 购物,推荐; 想常来,否,热可可暖洋洋的很好喝；毛毯很好看
乘坐游轮; 观景; 听讲解; 购物; 用餐,推荐下午航班,否,游轮提供完整的观光体验
拍照,,否,拍照具有纪念意义和情感价值
拍照; 打卡; 开车游览,推荐; 想常来,否,拍照体验非常满意
散步; 骑行; 拍照; 观景; 乘坐轮渡; 参观展览; 观看江豚; 品尝小吃; 等待拍摄火车,来了南京一定不要错过,否,拍到火车与汽车同框; 氛围感照片轻松拿捏
看日落; 拍照; 乘坐地铁; 乘坐公交; 步行,推荐,否,认为该地点拍摄效果很好
参观游览; 影视拍摄,可能推荐,否,
散步; 遛娃; 拍照; 喝咖啡; 看展览,推荐; 下次还来,否,遛娃+喝咖啡+拍照组合体验良好
,,,
阅读; 思考; 参观历史遗址,无明确意图,否,引发深刻反思
,劝退,无法判断,无法判断
乘坐轮渡; 观景; 拍照打卡; 游览; 亲子活动,推荐; 下次还来（暗示）,否,心胸开阔; 很适合打卡
乘坐轮渡; 拍照; 游览; 参观展览; 品尝小吃; 散步; 亲子活动,推荐；下次还来；想常来,否,拍照很出片；带娃省钱又好玩；无动力乐园很适合小朋友
参观历史遗址; 乘坐轮渡; 品尝美食; 逛街/夜市; 拍照打卡; 回忆往事,不会推荐柴火馄饨; 可能会再来感受回忆,否,对轮渡体验满意，对食物评价一般
乘坐轮渡; 拍照; 游览; 观看风景,推荐（五马渡）; 中性（中山码头）,否,五马渡体验感完胜
步行; 观景; 看日落,建议规划日落行程,否,
参观游览; 了解历史; 观赏日落,推荐,否,充实度满分
拍照打卡; 乘坐轮渡; 参观历史建筑; 游览周边公园,推荐; 下次还来,否,轮渡性价比高；适合拍照
观赏江豚; 拍照; 接受志愿者指导; 观看自然生态,推荐; 下次还来,否,虽然拍摄困难但整体体验满意
乘坐绿皮火车; 品尝美食; 观赏日落; 参观书店; 喝咖啡; 吃简餐; 散步,推荐; 下次还来,否,整体体验非常满意
散步; 购物; 拍照; 就餐; 参观景点; 祈福,推荐,否,拍美美的照片; 吃漂亮饭
,,否,
乘坐游轮; 拍照; 观景; 参观书法展; 制定旅行计划,推荐; 下次还来,否,游轮上好拍程度极高；行程规划方便实用
拍照; 散步; 品尝小吃; 观景,推荐/下次还来,否,拍摄非常满意的作品
拍照; 观景; 乘坐小火车; 散步; 观看日落; 合影白熊雕塑; 游览街区,推荐; 下次还来,否,拍照体验非常满意; 观赏日落非常治愈
步行; 观景; 拍照; 等待日出/日落,推荐; 下次还来,否,步行体验良好
拍照; 打卡; 观景; 穿旗袍散步; 角色扮演式摄影; 创作故事; 社交互动,推荐; 想拍同款; 总要来一趟,否,照片很有氛围感；照片能串联成故事
游览,下次还来,否,
散步; 徒步; 拍照; 观景,推荐; 下次还来,否,分分钟拍出故事感大片（拍照体验好）
乘坐轮渡,不会推荐/劝退,是（因排队时间长可能改变计划）,
乘坐轮渡; 拍照; 漫步; 骑行; 参观历史建筑; 阅读科普书籍; 购买文创产品; 盖章打卡; 市集消费; 夜市用餐; 观看落日,推荐路线; 建议等到落日来拍照,否,轮渡适合拍胶片风照片; 坐进火车里吃饭很出片
观赏日落; 拍照; 散步; 听音乐; 情侣约会,推荐; 想常来,否,太治愈人了; 从不让人失望
参观历史遗迹; 拍照; 学习历史知识; 住宿体验; 散步游览; 观看展览,推荐（部分景点）; 不推荐（因保护限制）,否,文化体验价值高但受限于开发不足
散步; 观景; 乘坐出租车; 步行游览,推荐/下次还来,否,三万步还是比较轻松
散步; 听歌; 看书; 发呆; 观景; 等待落日,推荐; 下次还来,否,感到身心放松，体验很好
,,,
拍照; 游览; 穿汉服; 购物; 品尝美食; 预约参观,推荐他人前往,否,鸽子起飞值得等待; 美食值得N刷
乘坐地铁; 乘坐公交; 乘坐轮渡; 游览; 拍照,推荐/感兴趣,否,通过公共交通串联历史景点具有文化体验价值
散步; citywalk; 拍照; 观景; 亲子活动; 遛狗; 登山; 参观艺术园区; 就餐,推荐; 下次还来,否,适合周末休闲; 户外活动好去处
导航; 游览,,否,
拍照; 观赏江豚,推荐来此观赏江豚并饮用特定饮品,否,拍摄体验满意，对饮品评价极高
乘坐轮渡; 亲子活动,推荐; 下次还来,否,觉得便宜、划算且有趣
散步; 遛娃; 乘坐小火车; 骑三人脚踏车; 玩耍泡泡机,推荐; 下次还来,否,小孩玩得很开心
散步; 观景,无明确意图,否,感到放松
无人机摄影; 后期修图; 观察船只动向; 等待合适时机,推荐拍摄地点和技巧,否,对后期修图软件（ACR）表示满意
散步; 游览; 拍照; 品尝美食; 听音乐; 购物; 观景,推荐; 下次还来,否,行程轻松不累; 拍照体验好; 美食丰富
登山; 观光; 摄影; 参观; 购物; 休息; 徒步; 了解历史文化,推荐游览,否,适合休闲观光与历史文化体验
拍照; 散步; 观景; 拍摄剪影; 游览,推荐; 下次还来,否,轻松拍出电影感大片；穿搭与场景适配度高；照片有故事感
观景; 打卡; 拍照,想常来,否,观景很浪漫
散步; 观景; 拍照; 听声音; 乘地铁; 坐公交; 避暑; 看日落,推荐; 想常来,否,坐在角落感到安宁，体验很好
散步; 观景; 拍照; 聊天,推荐; 下次还来,否,散步很浪漫; 聊天很愉快
乘坐轮渡; 观看日落; 拍照; 游览周边景点,推荐; 想常来,否,认为是一次值得的浪漫体验
CityWalk; 拍照; 喝咖啡; 集章打卡; 观赏江豚; 看落日; 乘坐轮渡; 游览历史景点,推荐; 可能会再来,否,CityWalk感觉需要善于发现生活美的朋友陪伴才能更好体验
拍照,推荐（适合拍摄）,否,拍摄体验良好
房产咨询; 意向登记; 置业决策,推荐/有兴趣,否,对项目的高品质定位感兴趣
乘坐地铁; 打车; 步行; 拍照; 观赏落日; 等待灯光亮起,推荐前往并拍摄,否,认为灯光和落日同时出现值得拍摄
观景; 看日落,,否,
散步; 观景; 亲子活动,推荐; 想常来,否,散步很舒服; 孩子很开心
,,,
骑行; 公交出行; 拍照打卡; 参观; 用餐; 轮渡,推荐游览路线,否,
散步; 拍照; 观景; 看夕阳; 看夜景,推荐; 值得一看,否,认为夕阳江景很美，值得一看；但对玻璃栈道评价一般
参加活动(如音乐节); 用餐; 拍照; 社交聚会,推荐; 想常来,否,对火车厢改造为派对场地表示赞赏
,,,
乘坐轮渡; 拍照; 观景; 游览,推荐; 下次还来,否,认为轮渡出行方式独特且具有观光价值
乘坐轮渡; 拍照; 观景; 散步; 就餐; 阅读; 购物; 看日落,推荐; 下次还来,否,非常适合夏天傍晚游玩; 拍照效果很好; 散步很放松
观赏日出; 就餐; 打卡,推荐; 下次还来,否,餐厅性价比高，味道好，值得推荐
参观游览; 拍照; 计划未来活动,推荐; 下次还来,否,适合拍照，适配度高
散步; 拍照; 打卡; 品尝美食; 观看表演; 购物; 喝咖啡; 遛娃,推荐; 下次还来,否,喝咖啡很惬意; 拍照出片效果好
观看日落; 拍照打卡; 散步; 欣赏他人拍摄婚纱照,推荐; 下次还来,否,很chill; 太美了
乘坐渡轮; 观赏落日; 游览景点; 拍照; 品尝小吃; 逛街购物; 乘坐地铁,推荐; 计划再次来访,否,夜景好看; 乘坐渡轮刚好赶上落日
乘坐轮渡; 观景; 拍照,推荐尝试,否,轮渡设施完善，适合观赏江景
散步; 徒步旅行; 拍照; 观景; 乘坐轮渡; 亲子活动; 租赁交通工具; 观看日落,推荐; 适合带老人和小孩儿休闲游,否,整体体验良好; 适合家庭出游
拍照; 游览,希望保持原貌（隐含对现状的喜爱）,否,记录火车站感到心满意足
自驾游; 步行游览; 观看夜景,推荐; 下次还来,否,错峰旅游体验良好
,,,
拍照; 骑行; 散步; 野餐; 观景; 参加户外游戏; 听吉他弹唱; 夜景观赏,推荐; 下次还来; 想常来,否,骑行超治愈; 拍照超仙; 户外游戏有趣
拍照; 观景; 散步,推荐; 下次还来,否,拍照出片效果很好
拍照; 合影; 打卡; 乘坐轮渡; 游览; 观看风景,推荐给特定群体（常旅客），不建议首次游客专门前往,否,拍照体验令人满意，但整体游玩体验受天气影响较大
,,,
前往目的地; 步行,无明显倾向,否,
参观; 摄影; 历史研究,建议尽快体验现存类似项目,否,完成了三座铁路轮渡的打卡
乘坐轮渡; 散步; 就餐; 拍照; 观景; 步行游览; 打车,会推荐但需提前准备,是（因轮渡停航改为沿江散步）,对最终能够完成大部分计划感到满意
拍照; 用餐; 阅读; 散步; 观景; 亲子活动; 乘坐轮渡,推荐; 下次还来; 想常来,否,遛娃体验非常好
打卡; 拍照; citywalk; 观景; 看日落,推荐; 下次还来,否,怎么拍都美
摄影; 创作艺术; 反思,无直接表达,否,
观赏日落,隐含推荐（主动前往）,否,非常满意
参观; 拍照; 游览,未明确表达回避或接近意愿,否,
观光; 缅怀历史; 观景,推荐/向往,否,
Citywalk游览; 乘坐轮渡; 拍照; 参观历史建筑; 观景,推荐他人前来体验,否,体验一次穿越回民国的感觉
观景; 乘坐绿皮火车; 散步; 吹风; 怀旧,推荐; 值得一去,否,能勾起旧日回忆，活动体验良好
观景; 拍照; 看日落; 乘坐公共交通游览,推荐; 很出片; 日落好漂亮,否,拍照体验满意，日落很出片
拍照; 观景; 聊天; 乘坐出租车; 旅游出行,推荐但提醒注意安全（不要孤身一人）,否,拍照体验愉快; 观赏日落令人感动
乘坐轮渡; 游览; 拍照; 参观历史景点; 观景,推荐; 表达为,,
参观游览; 拍照; 购物; 餐饮消费; 休闲放松,推荐; 下次还来,否,穿复古衣服打卡很出片
骑行; 拍摄; 观察; 漫游,推荐骑行探索老下关,否,享受观察生活百态的过程
拍照; 乘坐轮渡; 游览,推荐/下次还来,否,拍照体验满意，认为小姐姐和环境非常搭
,,,
拍照,推荐/下次还来,否,拍照很出片
,,,
城市漫步; 拍照; 观景; 参观寺庙; 博物馆游览; 赏花; 骑行; 夜游; 就餐,强烈推荐; 必须去; 不要错过,否,拍照体验极佳; 夜游秦淮河感受金陵之美
步行; 拍照; 观看火车,推荐/下次还来,否,灯光好看；火车经过值得记录
逛街购物; 品尝小吃; 拍照打卡; 参加互动活动; 观赏日落; 沿江散步,推荐; 下次还来,否,亲测烤肠最好吃; 满意集市整体体验
散步; 观景; 感受氛围,推荐或喜欢该区域,否,
Citywalk; 乘坐轮渡; 拍照; 观景; 游览历史景点; 观看江豚; 骑行; 看日落; 参观陈列馆; 喝咖啡; 拍摄创意剪影,强烈推荐; 想常来,否,拍照出片率100%
拍照; 打卡; 扫街,无法判断,否,拍照体验基本满意但受限制
观景; 拍照; 品尝饮品; 参观展览,推荐; 下次还来,否,咖啡体验满意但食物略有失望
乘坐轮渡; 观景; 亲子活动,推荐; 下次还来,否,孩子表示“坐轮船真好玩”，体验非常愉快
,,否,
观景; 散步; 发呆,推荐; 下次还来,否,观景很治愈
乘坐轮渡; 游览; 参观历史遗址,推荐/下次还来,否,对历史情怀表示赞赏
骑行,推荐/下次还来,否,骑行体验顺畅且令人愉快
,,,
学习; 阅读; 喝咖啡; 拍照,下次还会再来,否,学习体验总体满意但受干扰
游览; 观景; 拍照,推荐; 下次还来,否,可以治愈一切的浪漫体验
参观艺术展; 喝咖啡; 拍照; 观景; 看日落,推荐; 下次还来; 想常来,否,拍照很出片; 咖啡体验好; 观景很治愈
乘坐轮渡; 打卡; 观景; 拍照,推荐/下次还来,否,对观景体验满意
摄影; 散步,推荐; 下次还来,否,拍照很出片
散步; 观景; 拍照; 坐轮渡,推荐为南京人的lalaland,否,城市漫步非常惬意
参观游览; 获取盖章; 观看展览; 使用互动设施; 观景,推荐参观; 显示积极推广意图,否,设施完善; 内容丰富; 值得参观
,,,
乘坐轮渡; 散步; 拍照; 参观; 阅读; 购物; 品尝美食; 参加文创活动; 观看艺术展; 夜游; 市集游览,推荐; 下次还来,否,拍照体验满意; 文创活动有趣; 街区漫步舒适
观景; 散步,推荐玻璃栈道，回避大桥主桥面,是（建议直接去玻璃栈道）,欣赏大桥和日落的理想方式在玻璃栈道
,,,
乘坐轮渡; 观赏晚霞; 观景,推荐或有意重访（暗示于描述中）,否,人在船上仿佛融入江水之中
,,,
计划乘坐渡轮; 摄影创作; 实地考察拍摄地点,不会通过渡轮前往（回避渡轮服务）,是（原计划坐船改为开车）,拍摄难度不大但受光线条件影响
,,,
乘坐轮渡,推荐,否,体验感好，建议去程坐二楼，回程坐一楼
散步; 拍照; 观景; 看火车; 看晚霞; 看蓝调时刻; 露营或停留; 游览,推荐; 下次还来,否,边散步边欣赏美景; 拍照体验好; 看火车频次高
拍照; 观景; 散步,推荐；下次还来,否,拍照很出片；日落时刻非常美
拍照; 乘坐轮渡; 观景; 打卡; 游览,推荐; 下次还来,否,拍摄体验极佳，推荐出片效果
游览; 拍照; 品尝小吃; 观景; 吹风,推荐/下次还来,否,小吃体验和观景令人满意
观赏自然景观,无法判断,无法判断,无法判断
乘坐轮渡,推荐/建议他人尝试,否,
乘坐轮渡; 拍照; 观景,推荐；想再来,否,拍照体验很棒；三层甲板值得
观景; 等待落日; 拍照,推荐观看落日地点,否,成功观看落日，体验良好
乘坐轮渡; 拍照; 观景; 打卡; 散步; 游览; 等待火车,推荐; 下次还来,否,拍照体验很好; 观赏日落很浪漫
散步; 摄影; 观景; 打卡; 看江豚; 闲逛,推荐; 想常来,否,摄影体验良好但出片效果还有提升空间
回忆; 观察变化; 散步,不会再来（隐含）,否,感受到失落与无奈
乘坐轮渡; 拍照; 观景; 游览街区; 品茶饮; 亲子活动,推荐; 下次还来,否,轮渡出行体验良好; 拍照效果满意; 茶水铺饮品物有所值
拍照,推荐; 下次还来,否,拍照很出片
散步; 跑步; 探索路径,不会推荐/不会再来,是（原计划改变）,路径体验不佳影响整体感受
观景; 拍照,下次还来,否,欣赏落日晚霞体验良好
发呆; 遛弯; 拍照,推荐; 想常来,否,发呆遛弯很舒适；拍照体验很好
亲子活动; 拍照; 游览; 饮用咖啡,建议平时去，节假日避开；总体表示会再来,否,咖啡好喝不腻；拍照体验良好
浏览信息; 计划游览,无明确意愿,否,
,推荐,否,
乘坐轮渡; 散步; 看日落; 拍照; 观景; 游览; 吹风; 品尝美食,推荐; 必冲不踩雷,否,城市漫步路线很chill; 拍照体验很好
游览; 拍照; 阅读历史背景; 观察建筑细节,想深入了解但因维护未能实现,否,虽然无法深入探索但仍有独特体验
散步; 观景; 拍照,推荐,否,观景和拍照体验很好
,,,
游览; 发现新地点,推荐最美江岸线,否,对意外发现的地点表示满意
散步; 观景; 拍照; 乘坐轮渡,推荐作为小众景点,否,适合喜欢安静风景的人群
观看日落; 拍照; 拍摄婚纱照; 欣赏火车经过,推荐; 想再来,否,拍照和看日落很出片且很放松
散步; 跑步; 观景; 拍照; 看交通; 吃饭,推荐; 下次还来,否,走路很顺畅; 吃饭很满足
观景; 拍照; 散步,推荐; 想常来,否,抓拍到了好看的日落照片
乘坐轮渡; 观赏日落; 拍照,推荐; 下次还来,否,橘子日落真的很美，期待大家分享照片
散步; 拍照; 观景; 夜游; 骑行; 乘坐公共交通; 野餐; 休闲漫步,推荐; 下次还来,否,散步很放松，拍照很出片
,,,
拍照; 打卡; 观景; 等待日落; 长曝光摄影,推荐; 下次还来,否,成功拍到满意照片
,,,
观景; 拍照; 散步,推荐; 下次还来,否,观景很放松; 拍照很出片
散步,建议前往,否,
步行游览; 参观博物馆; 乘坐地铁; 用餐; 拍照打卡; 城市漫步,推荐,否,路线设计合理; 餐饮性价比高
乘轮渡; 吃饭; 散步; 观景,计划再次来访,否,对绿皮火车无特别兴趣
散步; city walk; 拍照; 观景; 参观; 喝咖啡; 乘坐轮渡; 看夜景,推荐; 想常来; 下次还来,否,city walk路线顺畅；拍照体验好；咖啡厅氛围佳
跑步; 观景,无明确意愿,否,跑步时欣赏江景感到满足
,,,
回忆; 观察城市发展变化,无明确意图表达,否,
打卡; 拍照; 观景; 游览,推荐; 下次还来,否,打卡体验满意
驾车经过; 驻足观察,想靠近观察,是（因视觉吸引而临时停留）,对视觉吸引力感到满意
,,,
骑行; 散步; 观景; 拍照; 阅读空间故事,推荐; 下次还来,否,骑行+观景结合体验很好；干饭心情愉快
乘坐轮渡; 拍照,推荐,否,拍摄照片值得分享
观景; 看落日,推荐/下次还想来,否,感受到视觉与感官上的美好体验
散步; citywalk; 拍照; 观景; 打卡; 游览,推荐游览路径表明有积极推荐意愿,否,认为是一条具有历史文化特色的citywalk路线
乘坐轮渡; 拍照; 游览; 一日游行程,推荐这条2元快乐线路,否,认为2元轮渡物超所值且风景很好
乘坐轮渡; 观看落日; 沿江散步; 搭乘公交; 观赏夜景,推荐; 下次还来,否,夜景观赏体验很好；交通更方便了
乘坐轮渡; 步行游览; 拍照; 观景; 参观纪念碑; 打卡历史遗迹; 登山; 看雕像; 逛广场,推荐登高俯瞰南京,否,登高望远体验好但过程较累; 机械风建筑有趣但空间受限
乘坐公交; 观光,提供交通便利，鼓励游客使用,否,
乘坐轮渡; 观赏日落; 拍摄城市景观; 游览,推荐; 想常来,否,拍摄体验满意，认为能拍到绝美画面
游览; 拍照; 打卡,推荐; 下次还来,否,对打卡和摄影体验满意
骑行; 散步; 乘坐三轮电摩; 拍照; 观景,推荐; 下次还来,否,认为夜晚灯光效果非常有氛围
就餐; 点餐; 品尝不同口味龙虾,会再来,否,推荐蒜泥和干煸口味
观光旅游; 历史参观; 交通通行; 纪念活动,推荐参观; 重要文化遗产,否,
观景,推荐/想来,否,
乘坐轮渡; 拍照; 观景; 散步; 游览历史建筑,推荐; 下次还来,否,购票上船过程顺畅; 观赏落日体验好
散步; 拍照; 观景; 阅读; 打卡; 骑行; 坐长椅休息,推荐; 想常来,否,快速出片; 更惬意舒适
散步; 拍照; 观景; 野餐; 聊天; 亲子活动; 发呆; 阅读; 参加活动(如音乐节),推荐; 下次还来,否,拍照体验很好; 欣赏花卉很放松
拍照; 探索拍摄点,推荐/愿意前往这些地点拍摄,否,
参观; 拍照; 乘坐火车; 教育讲解,推荐; 想再来,否,孩子玩得很开心且充满好奇
居住; 散步; 骑行; 拍照; 通勤; 教育活动; 购物消费,推荐/向往,否,改善家庭最优解
观景; 看日落; 拍照; 就餐,推荐; 下次还来,否,看到橘子海一样的落日，太治愈了
,,,
拍照; 散步; 驾车游览; 观赏日落; 品尝美食; 购物; 观景,值得一去,否,拍照散步体验良好; 烧烤美味; 天台观景满意
参观游览; 步行; 骑行; 乘坐轮渡; 观看大桥; 听广播讲解; 拍照; 就餐; 公共交通出行,家庭推荐; 表达还想再来,否,游览体验良好; 父母状态满意
散步; 拍照; 观景; 打卡; 乘坐轮渡; 游览; 喝咖啡,推荐; 下次还来,是（因时间不足未完成全程）,拍照体验满意; 走路较累但值得
乘坐轮渡; 拍照; 游览; 打卡,推荐; 下次还来,否,拍照非常出片
参观游览; 影视拍摄,推荐/感兴趣,否,
,,,
散步; 探索新区域,愿意尝试新体验,否,对桥下探索感到新鲜有趣
,无法判断,无法判断,无法判断
乘坐轮渡; 观景; 拍照; 游览,推荐; 下次还来,否,对日落观赏体验满意
散步; 拍照; 观景; 打卡; 骑行,不建议特地前来,否,拍照体验一般，夜景不错但人流影响整体感受
居住; 生活起居; 家庭共处,满意并推荐,否,居住体验良好
观景,无法判断,无法判断,无法判断
乘坐轮渡; 拍照; 观赏日落,推荐; 下次还来,否,拍照体验良好，但甲板限制影响完整体验
乘坐轮渡,未明确表达回避或推荐意愿,否,
探索; 观察,,否,
乘坐轮渡; 拍照; 打卡; 游览; 步行,不会推荐去左手边公园,是（因公园行走困难而改变返程计划）,拍照体验满意但整体行程不便
游览; 寻找历史遗迹,不会推荐/不会再来,是（从浦口火车站转向长江边）,对浦口火车站体验不满意
拍照; 游览; 观景; 打卡,推荐/下次还来,否,与民国建筑完美融合；让人仿佛置身于一部怀旧电影中
骑行; 散步; 观景; 社交互动,推荐; 下次还来,否,骑行散步很舒服，感受到简单快乐
散步; 拍照; 观景; 打卡; 乘坐轮渡; 等待江豚; 游览,推荐; 下次还来,否,拍照很出片; 观赏江豚很浪漫; 整体体验满意
,,,
消费行为,推荐/会再次体验,无法判断,对消费体验持高度肯定态度
打卡; 游览; 参观,推荐/想来,否,
拍照; 乘坐轮渡; 游览; 消费,推荐/下次还来,否,拍照体验满意
City Walk; 乘坐轮渡; 观赏夕阳; 赏花; 暴走; 红色教育参观; 博物馆游览; 汉服化妆; 穿汉服逛街; 放河灯; 室内游玩,推荐城墙博物馆和白鹭洲公园; 不推荐浦口线路给外地游客; 表示愿意再次来南京,是（因强对流天气改变计划，选择室内游乐场）,轮渡体验很美; 汉服装扮性价比高; 华昌龙谷乐园超值
观景; 看日落; 拍照,推荐; 下次还来,否,从夕阳到蓝调的景观变化令人满意
散步; 观景; 聆听声音; 城市漫步,下次还会来,否,整体体验舒适惬意
散步; 拍照; 观景; 乘坐轮渡; 品尝小吃; 逛街; 就餐; 乘坐公交; 夜间游览,推荐路线; 表达再次体验意愿,否,烧饼一般; 夜景值得看; 路线设计合理
乘坐轮渡; 拍照; 观景; 约会; 散步; 骑行; 露营; 亲子活动; 品尝小吃,推荐; 下次还来,否,电影感大片; 拍照出片; 江风拂面很舒服
游览; 拍照; 散步; 参观历史馆; 观看落日; 欣赏夜景,推荐; 下次还来,否,拍照体验很好; 参观历史馆值得
拍照; 参与艺术活动; 书写春天日记; 制作音景; 香味实验; 艺术共创; 打卡; 游览,推荐; 下次还来,否,活动丰富且有趣
纪录片拍摄; 历史考察; 摄影; 团队协作,推荐; 想继续创作相关题材,否,拍摄过程富有教育意义和创作满足感
通勤,,否,
乘坐轮渡; 打卡拍照; 观景; 阅读/了解历史背景,推荐,否,轮渡旅程舒适且富有观赏性
乘坐轮渡; 拍照; 游览,推荐; 下次还来,否,拍照体验很棒
乘坐轮渡; 查看班次信息; 观察轮渡运营情况,推荐/会再次使用,否,轮渡出行方式便捷可靠
游览; 拍照; 乘坐轮渡; 喝咖啡; 购物; 聆听音乐; 休息,推荐; 下次还来,否,拍照体验满意; 听音乐很舒服
散步; 跑步; 观景; 拍照,推荐; 下次还来,否,跑得很舒服; 拍照很出片
游览,推荐（隐含）,否,
观察大桥结构; 欣赏桥墩设计; 了解工程历史,推荐参观学习,否,对工程设计有深入理解
观景; 拍照; 品尝饮品; 乘坐轮渡,推荐/可能再来,否,拍照体验满意，饮品体验不佳
摄影; 观景,推荐/下次还来,否,拍摄体验满意
拍照; 摄影创作,推荐/下次还来,否,拍摄效果满意
乘坐轮渡; 游览; 观赏长江,推荐/下次还来,否,整体体验满意
散步; citywalk; 拍照; 观景; 乘坐轮渡; 观看江豚,推荐; 想常来,否,安静的走一走; 满眼都是过去的样子，遇到夕阳，静静地治愈
乘坐轮渡; 拍照; 观景; 登高; 散步,推荐; 下次还来,是（因听说史诗级日落而临时调整行程）,拍照体验很好；轮渡体验一般但仍然值得尝试
乘坐轮渡; 拍照; 游览,推荐; 下次还来,否,📷时间多一点; 很不错的夕阳
,,,
爬楼; 摄影,不会推荐/不会再来,否,虽未达到预期但仍有拍摄价值
乘坐轮渡; 拍照; 观景,推荐; 下次还来,否,拍摄体验非常好
乘坐轮渡; 观赏日落,推荐; 想常来,否,轮渡体验乐趣无穷
居住; 通勤; 游览,有兴趣了解/关注该区域发展,否,
参观; 观赏夜景; 拍照打卡,推荐/值得参观,否,无法判断
散步; 游览; 参观; 拍照; 阅读历史资料,推荐; 想常来; 可多次访问,否,沉浸式历史文化体验丰富
乘坐轮渡,推荐; 想常来,否,
